run,steps,fps,lr,entropy,kl,clip_frac,exvar,loss,value_loss,pg_loss,dmg_pct,status_pct,setup_pct,other_pct,switch_pct,reward_mean,reward_std
run47,32776,,0.0003,-0.715908,0.0792644,0.266705,-0.11204,-0.0607368,0.0459581,-0.0395096,0.5941,0.0882,0.0242,0.0426,0.2028,1.42738,0.277788
run47,65544,268,0.0003,-0.747874,0.0721122,0.295844,0.331625,-0.0667393,0.0233034,-0.038041,0.5938,0.079,0.0193,0.0312,0.225,1.44433,0.184525
run47,98312,256,0.0003,-0.769617,0.0682586,0.290091,0.271856,-0.0656633,0.0174332,-0.0324725,0.5956,0.077,0.0241,0.031,0.224,1.44709,0.210766
run47,131080,273,0.0003,-0.792745,0.0568528,0.297128,0.421913,-0.0565773,0.0180331,-0.030384,0.5784,0.0835,0.0222,0.0357,0.2311,1.42812,0.259877
run47,163848,230,0.0003,-0.805249,0.0546418,0.278415,0.470863,-0.0652041,0.0139779,-0.0317571,0.5876,0.0771,0.0229,0.0336,0.2241,1.44411,0.1849
run47,196616,213,0.0003,-0.790584,0.0503364,0.262143,0.405671,-0.0683157,0.0140041,-0.031245,0.6034,0.0728,0.0242,0.0362,0.2082,1.43665,0.228027
run47,229384,267,0.0003,-0.795613,0.0510811,0.260629,0.535071,-0.0698321,0.0136221,-0.0343289,0.6122,0.0735,0.0218,0.031,0.2076,1.44642,0.189791
run47,262152,153,0.0003,-0.792134,0.051739,0.265082,0.339471,-0.0880808,0.00879912,-0.0405229,0.6224,0.0709,0.0221,0.0269,0.2042,1.45377,0.129333
run47,294920,250,0.0003,-0.78108,0.0475738,0.257971,0.56315,-0.060535,0.0138205,-0.0311504,0.6296,0.069,0.0261,0.0334,0.1867,1.44091,0.209531
run47,327688,263,0.0003,-0.762251,0.0497184,0.252628,0.514614,-0.0602425,0.0103013,-0.0360987,0.6434,0.0618,0.0225,0.0243,0.1935,1.43797,0.232321
run47,360456,249,0.0003,-0.756136,0.0428716,0.246063,0.574921,-0.0596453,0.0146637,-0.0298184,0.638,0.0704,0.0235,0.0252,0.1877,1.43867,0.227635
run47,393224,264,0.0003,-0.753279,0.0472086,0.24808,0.574165,-0.0741541,0.0100088,-0.035053,0.6401,0.0704,0.0215,0.0257,0.1918,1.4517,0.158811
run47,425992,278,0.0003,-0.770759,0.0449088,0.241669,0.353442,-0.0554635,0.0150121,-0.0282796,0.6508,0.0652,0.0211,0.0196,0.1895,1.43778,0.226752
run47,458760,301,0.0003,-0.748864,0.0444557,0.248447,0.537457,-0.0611096,0.00996837,-0.0336896,0.6522,0.0664,0.023,0.022,0.1851,1.45092,0.170798
run47,491528,256,0.0003,-0.738577,0.0390828,0.227621,0.481927,-0.0667124,0.0113208,-0.0332287,0.6581,0.0719,0.0236,0.0244,0.1671,1.45008,0.185163
run47,524296,161,0.0003,-0.741226,0.0418003,0.230371,0.527689,-0.0506917,0.0131125,-0.0292609,0.6606,0.0684,0.0212,0.0257,0.1685,1.44495,0.207018
run47,557064,260,0.0003,-0.744638,0.0459398,0.234824,0.513946,-0.0661578,0.0149679,-0.0290169,0.6575,0.0648,0.0251,0.0234,0.1711,1.43283,0.245213
run47,589832,222,0.0003,-0.738287,0.0443114,0.237134,0.511404,-0.0615674,0.00943263,-0.0327111,0.6733,0.067,0.0214,0.024,0.16,1.45229,0.166719
run47,622600,252,0.0003,-0.719166,0.0441695,0.231485,0.646997,-0.0455542,0.0101033,-0.0277089,0.684,0.0618,0.0212,0.0169,0.1611,1.44786,0.188532
run47,655368,270,0.0003,-0.734821,0.041981,0.225555,0.55117,-0.0487897,0.0118656,-0.0313983,0.6786,0.0571,0.0261,0.023,0.1579,1.45047,0.162415
run47,688136,291,0.0003,-0.725449,0.0398968,0.22605,0.569052,-0.0555687,0.00912737,-0.0334234,0.6926,0.0628,0.0223,0.0192,0.1471,1.45897,0.0956231
run47,720904,274,0.0003,-0.72295,0.0381238,0.227979,0.543559,-0.0528599,0.0165106,-0.0261315,0.7019,0.0617,0.0246,0.0193,0.1382,1.44093,0.228494
run47,753672,159,0.0003,-0.736055,0.0399366,0.228247,0.562844,-0.0525954,0.01093,-0.0275959,0.6891,0.0632,0.0261,0.0206,0.1451,1.43538,0.252062
run47,786440,280,0.0003,-0.761574,0.0378857,0.230484,0.503032,-0.0609984,0.0162678,-0.0287477,0.6811,0.061,0.0239,0.0186,0.1596,1.44741,0.185643
run47,819208,291,0.0003,-0.748488,0.0382837,0.22952,0.551294,-0.0544794,0.0122514,-0.0320713,0.6872,0.0546,0.0245,0.0159,0.1615,1.45311,0.163369
run47,851976,255,0.0003,-0.742598,0.0355673,0.223123,0.643599,-0.0639963,0.0124367,-0.0281735,0.701,0.0571,0.0239,0.0152,0.1461,1.44561,0.188029
run47,884744,286,0.0003,-0.749722,0.036614,0.220685,0.507228,-0.0509555,0.014178,-0.0300158,0.7005,0.0581,0.0214,0.0133,0.1488,1.43455,0.248969
run47,917512,253,0.0003,-0.75087,0.0447593,0.230576,0.54673,-0.0556295,0.00878727,-0.0327756,0.7029,0.0606,0.0257,0.017,0.1412,1.46312,0.0988681
run47,950280,274,0.0003,-0.761396,0.0385896,0.227258,0.535152,-0.0662412,0.0115641,-0.0316325,0.7103,0.0482,0.0241,0.0172,0.1442,1.46077,0.0942069
run47,983048,275,0.0003,-0.745403,0.0337389,0.21626,0.505785,-0.0511657,0.0167913,-0.0273087,0.7077,0.0515,0.0288,0.0141,0.1398,1.44427,0.209247
run47,1015816,151,0.0003,-0.743917,0.0390125,0.215442,0.496993,-0.0560759,0.0141528,-0.0290015,0.7204,0.0482,0.0269,0.0092,0.138,1.45019,0.165561
run47,1048584,214,0.0003,-0.756587,0.0356534,0.228079,0.573241,-0.0572628,0.0106482,-0.0292994,0.6999,0.0521,0.0244,0.0137,0.1544,1.44657,0.186345
run47,1081352,263,0.0003,-0.747511,0.037401,0.225345,0.633557,-0.072427,0.011706,-0.0314829,0.6942,0.0496,0.0299,0.0154,0.1543,1.44915,0.187572
run47,1114120,269,0.0003,-0.757681,0.0404716,0.230096,0.477256,-0.0464043,0.0103236,-0.0338023,0.6966,0.0485,0.0261,0.0129,0.1605,1.46473,0.0317794
run47,1146888,284,0.0003,-0.748088,0.0360029,0.224393,0.628427,-0.0849665,0.0067698,-0.0371716,0.7092,0.0503,0.0235,0.0114,0.1466,1.45879,0.0965975
run47,1179656,272,0.0003,-0.754135,0.0376548,0.220383,0.491402,-0.0448121,0.0113484,-0.0289159,0.7019,0.0524,0.0265,0.0131,0.1493,1.44244,0.206162
run47,1212424,260,0.0003,-0.748869,0.0361714,0.218243,0.594334,-0.05492,0.0113114,-0.0299933,0.7089,0.0477,0.0246,0.009,0.1534,1.45045,0.159612
run47,1245192,258,0.0003,-0.741634,0.0333912,0.214371,0.580811,-0.0784494,0.0104218,-0.0299107,0.695,0.0525,0.0297,0.0125,0.1529,1.43483,0.243873
run47,1277960,143,0.0003,-0.736746,0.0307517,0.209616,0.592384,-0.0614797,0.0159406,-0.0282439,0.718,0.0431,0.0221,0.0102,0.147,1.4226,0.290101
