=== monotype round-robin: 18 teams, 153 pairs, 8 games/pair, 200ms search, 22 workers, 1224 total games ===
  [ 0] Dork Team
  [ 1] Totally Normal Team
  [ 2] Spooky Team
  [ 3] Supa Fitingu
  [ 4] I Believe In Fairies
  [ 5] Grounded Grounded Grounded
  [ 6] Ice Ice Baby
  [ 7] Heavy Metal
  [ 8] Stop Bugging Me
  [ 9] Electric Boogaloo
  [10] Fly Away Now
  [11] Toxic Team
  [12] Rock Hard
  [13] RuPauls Dragon Race
  [14] Soft and Wet
  [15] Your Ass is Grass
  [16] Brain Blast
  [17] Disco Inferno
  [61/1224] 40s
  [122/1224] 91s
  [183/1224] 137s
  [244/1224] 179s
  [305/1224] 227s
  [366/1224] 281s
  [427/1224] 325s
  [488/1224] 359s
  [549/1224] 397s
  [610/1224] 450s
  [671/1224] 518s
  [732/1224] 559s
  [793/1224] 612s
  [854/1224] 653s
  [915/1224] 702s
  [976/1224] 746s
  [1037/1224] 799s
  [1098/1224] 856s
  [1159/1224] 906s
  [1220/1224] 960s

Done in 965s

=== Per-pair results ===
               Dork Team vs Totally Normal Team   :   8W   0L   0D (100.0% for Dork Team, 8/8 decided)
               Dork Team vs Spooky Team           :   2W   6L   0D ( 25.0% for Dork Team, 8/8 decided)
               Dork Team vs Supa Fitingu          :   0W   8L   0D (  0.0% for Dork Team, 8/8 decided)
               Dork Team vs I Believe In Fairies  :   0W   8L   0D (  0.0% for Dork Team, 8/8 decided)
               Dork Team vs Grounded Grounded Gro…:   6W   0L   2D (100.0% for Dork Team, 6/8 decided)
               Dork Team vs Ice Ice Baby          :   5W   3L   0D ( 62.5% for Dork Team, 8/8 decided)
               Dork Team vs Heavy Metal           :   1W   1L   6D ( 50.0% for Dork Team, 2/8 decided)
               Dork Team vs Stop Bugging Me       :   0W   6L   2D (  0.0% for Dork Team, 6/8 decided)
               Dork Team vs Electric Boogaloo     :   7W   1L   0D ( 87.5% for Dork Team, 8/8 decided)
               Dork Team vs Fly Away Now          :   6W   1L   1D ( 85.7% for Dork Team, 7/8 decided)
               Dork Team vs Toxic Team            :   7W   0L   1D (100.0% for Dork Team, 7/8 decided)
               Dork Team vs Rock Hard             :   4W   3L   1D ( 57.1% for Dork Team, 7/8 decided)
               Dork Team vs RuPauls Dragon Race   :   4W   4L   0D ( 50.0% for Dork Team, 8/8 decided)
               Dork Team vs Soft and Wet          :   6W   0L   2D (100.0% for Dork Team, 6/8 decided)
               Dork Team vs Your Ass is Grass     :   6W   2L   0D ( 75.0% for Dork Team, 8/8 decided)
               Dork Team vs Brain Blast           :   1W   4L   3D ( 20.0% for Dork Team, 5/8 decided)
               Dork Team vs Disco Inferno         :   1W   7L   0D ( 12.5% for Dork Team, 8/8 decided)
     Totally Normal Team vs Spooky Team           :   0W   4L   4D (  0.0% for Totally Normal Team, 4/8 decided)
     Totally Normal Team vs Supa Fitingu          :   0W   8L   0D (  0.0% for Totally Normal Team, 8/8 decided)
     Totally Normal Team vs I Believe In Fairies  :   0W   7L   1D (  0.0% for Totally Normal Team, 7/8 decided)
     Totally Normal Team vs Grounded Grounded Gro…:   1W   5L   2D ( 16.7% for Totally Normal Team, 6/8 decided)
     Totally Normal Team vs Ice Ice Baby          :   7W   1L   0D ( 87.5% for Totally Normal Team, 8/8 decided)
     Totally Normal Team vs Heavy Metal           :   2W   4L   2D ( 33.3% for Totally Normal Team, 6/8 decided)
     Totally Normal Team vs Stop Bugging Me       :   2W   6L   0D ( 25.0% for Totally Normal Team, 8/8 decided)
     Totally Normal Team vs Electric Boogaloo     :   5W   0L   3D (100.0% for Totally Normal Team, 5/8 decided)
     Totally Normal Team vs Fly Away Now          :   6W   0L   2D (100.0% for Totally Normal Team, 6/8 decided)
     Totally Normal Team vs Toxic Team            :   0W   5L   3D (  0.0% for Totally Normal Team, 5/8 decided)
     Totally Normal Team vs Rock Hard             :   0W   8L   0D (  0.0% for Totally Normal Team, 8/8 decided)
     Totally Normal Team vs RuPauls Dragon Race   :   2W   4L   2D ( 33.3% for Totally Normal Team, 6/8 decided)
     Totally Normal Team vs Soft and Wet          :   0W   0L   8D (  0.0% for Totally Normal Team, 0/8 decided)
     Totally Normal Team vs Your Ass is Grass     :   1W   6L   1D ( 14.3% for Totally Normal Team, 7/8 decided)
     Totally Normal Team vs Brain Blast           :   0W   0L   8D (  0.0% for Totally Normal Team, 0/8 decided)
     Totally Normal Team vs Disco Inferno         :   1W   7L   0D ( 12.5% for Totally Normal Team, 8/8 decided)
             Spooky Team vs Supa Fitingu          :   4W   2L   2D ( 66.7% for Spooky Team, 6/8 decided)
             Spooky Team vs I Believe In Fairies  :   3W   4L   1D ( 42.9% for Spooky Team, 7/8 decided)
             Spooky Team vs Grounded Grounded Gro…:   5W   3L   0D ( 62.5% for Spooky Team, 8/8 decided)
             Spooky Team vs Ice Ice Baby          :   0W   0L   8D (  0.0% for Spooky Team, 0/8 decided)
             Spooky Team vs Heavy Metal           :   3W   4L   1D ( 42.9% for Spooky Team, 7/8 decided)
             Spooky Team vs Stop Bugging Me       :   1W   7L   0D ( 12.5% for Spooky Team, 8/8 decided)
