=== monotype round-robin: 18 teams, 153 pairs, 8 games/pair, 200ms search, 11 workers, 1224 total games ===
  [ 0] Dork Team
  [ 1] Totally Normal Team
  [ 2] Spooky Team
  [ 3] Supa Fitingu
  [ 4] I Believe In Fairies
  [ 5] Grounded Grounded Grounded
  [ 6] Ice Ice Baby
  [ 7] Heavy Metal
  [ 8] Stop Bugging Me
  [ 9] Electric Boogaloo
  [10] Fly Away Now
  [11] Toxic Team
  [12] Rock Hard
  [13] RuPauls Dragon Race
  [14] Soft and Wet
  [15] Your Ass is Grass
  [16] Brain Blast
  [17] Disco Inferno
  [61/1224] 74s
  [122/1224] 175s
  [183/1224] 263s
  [244/1224] 348s
  [305/1224] 446s
  [366/1224] 559s
  [427/1224] 639s
  [488/1224] 709s
  [549/1224] 780s
  [610/1224] 876s
  [671/1224] 1022s
  [732/1224] 1102s
  [793/1224] 1191s
  [854/1224] 1287s
  [915/1224] 1393s
  [976/1224] 1491s
  [1037/1224] 1597s
  [1098/1224] 1723s
  [1159/1224] 1817s
  [1220/1224] 1936s

Done in 1939s

=== Per-pair results ===
               Dork Team vs Totally Normal Team   :   8W   0L   0D (100.0% for Dork Team, 8/8 decided)
               Dork Team vs Spooky Team           :   2W   6L   0D ( 25.0% for Dork Team, 8/8 decided)
               Dork Team vs Supa Fitingu          :   1W   7L   0D ( 12.5% for Dork Team, 8/8 decided)
               Dork Team vs I Believe In Fairies  :   0W   8L   0D (  0.0% for Dork Team, 8/8 decided)
               Dork Team vs Grounded Grounded Gro…:   6W   0L   2D (100.0% for Dork Team, 6/8 decided)
               Dork Team vs Ice Ice Baby          :   6W   2L   0D ( 75.0% for Dork Team, 8/8 decided)
               Dork Team vs Heavy Metal           :   2W   2L   4D ( 50.0% for Dork Team, 4/8 decided)
               Dork Team vs Stop Bugging Me       :   0W   6L   2D (  0.0% for Dork Team, 6/8 decided)
               Dork Team vs Electric Boogaloo     :   7W   1L   0D ( 87.5% for Dork Team, 8/8 decided)
               Dork Team vs Fly Away Now          :   7W   1L   0D ( 87.5% for Dork Team, 8/8 decided)
               Dork Team vs Toxic Team            :   4W   3L   1D ( 57.1% for Dork Team, 7/8 decided)
               Dork Team vs Rock Hard             :   4W   4L   0D ( 50.0% for Dork Team, 8/8 decided)
               Dork Team vs RuPauls Dragon Race   :   7W   1L   0D ( 87.5% for Dork Team, 8/8 decided)
               Dork Team vs Soft and Wet          :   6W   0L   2D (100.0% for Dork Team, 6/8 decided)
               Dork Team vs Your Ass is Grass     :   6W   2L   0D ( 75.0% for Dork Team, 8/8 decided)
               Dork Team vs Brain Blast           :   2W   4L   2D ( 33.3% for Dork Team, 6/8 decided)
               Dork Team vs Disco Inferno         :   1W   7L   0D ( 12.5% for Dork Team, 8/8 decided)
     Totally Normal Team vs Spooky Team           :   0W   5L   3D (  0.0% for Totally Normal Team, 5/8 decided)
     Totally Normal Team vs Supa Fitingu          :   0W   7L   1D (  0.0% for Totally Normal Team, 7/8 decided)
     Totally Normal Team vs I Believe In Fairies  :   1W   7L   0D ( 12.5% for Totally Normal Team, 8/8 decided)
     Totally Normal Team vs Grounded Grounded Gro…:   0W   5L   3D (  0.0% for Totally Normal Team, 5/8 decided)
     Totally Normal Team vs Ice Ice Baby          :   8W   0L   0D (100.0% for Totally Normal Team, 8/8 decided)
     Totally Normal Team vs Heavy Metal           :   2W   5L   1D ( 28.6% for Totally Normal Team, 7/8 decided)
     Totally Normal Team vs Stop Bugging Me       :   2W   6L   0D ( 25.0% for Totally Normal Team, 8/8 decided)
     Totally Normal Team vs Electric Boogaloo     :   3W   0L   5D (100.0% for Totally Normal Team, 3/8 decided)
     Totally Normal Team vs Fly Away Now          :   7W   0L   1D (100.0% for Totally Normal Team, 7/8 decided)
     Totally Normal Team vs Toxic Team            :   0W   6L   2D (  0.0% for Totally Normal Team, 6/8 decided)
     Totally Normal Team vs Rock Hard             :   0W   8L   0D (  0.0% for Totally Normal Team, 8/8 decided)
     Totally Normal Team vs RuPauls Dragon Race   :   1W   6L   1D ( 14.3% for Totally Normal Team, 7/8 decided)
     Totally Normal Team vs Soft and Wet          :   0W   0L   8D (  0.0% for Totally Normal Team, 0/8 decided)
     Totally Normal Team vs Your Ass is Grass     :   2W   4L   2D ( 33.3% for Totally Normal Team, 6/8 decided)
     Totally Normal Team vs Brain Blast           :   0W   4L   4D (  0.0% for Totally Normal Team, 4/8 decided)
     Totally Normal Team vs Disco Inferno         :   1W   7L   0D ( 12.5% for Totally Normal Team, 8/8 decided)
             Spooky Team vs Supa Fitingu          :   5W   1L   2D ( 83.3% for Spooky Team, 6/8 decided)
             Spooky Team vs I Believe In Fairies  :   3W   4L   1D ( 42.9% for Spooky Team, 7/8 decided)
             Spooky Team vs Grounded Grounded Gro…:   5W   3L   0D ( 62.5% for Spooky Team, 8/8 decided)
             Spooky Team vs Ice Ice Baby          :   1W   0L   7D (100.0% for Spooky Team, 1/8 decided)
             Spooky Team vs Heavy Metal           :   3W   4L   1D ( 42.9% for Spooky Team, 7/8 decided)
             Spooky Team vs Stop Bugging Me       :   2W   6L   0D ( 25.0% for Spooky Team, 8/8 decided)
             Spooky Team vs Electric Boogaloo     :   8W   0L   0D (100.0% for Spooky Team, 8/8 decided)
             Spooky Team vs Fly Away Now          :   2W   2L   4D ( 50.0% for Spooky Team, 4/8 decided)
             Spooky Team vs Toxic Team            :   2W   4L   2D ( 33.3% for Spooky Team, 6/8 decided)
             Spooky Team vs Rock Hard             :   4W   0L   4D (100.0% for Spooky Team, 4/8 decided)
             Spooky Team vs RuPauls Dragon Race   :   4W   2L   2D ( 66.7% for Spooky Team, 6/8 decided)
             Spooky Team vs Soft and Wet          :   2W   0L   6D (100.0% for Spooky Team, 2/8 decided)
             Spooky Team vs Your Ass is Grass     :   7W   1L   0D ( 87.5% for Spooky Team, 8/8 decided)
             Spooky Team vs Brain Blast           :   4W   2L   2D ( 66.7% for Spooky Team, 6/8 decided)
             Spooky Team vs Disco Inferno         :   6W   2L   0D ( 75.0% for Spooky Team, 8/8 decided)
            Supa Fitingu vs I Believe In Fairies  :   2W   6L   0D ( 25.0% for Supa Fitingu, 8/8 decided)
            Supa Fitingu vs Grounded Grounded Gro…:   2W   6L   0D ( 25.0% for Supa Fitingu, 8/8 decided)
            Supa Fitingu vs Ice Ice Baby          :   6W   2L   0D ( 75.0% for Supa Fitingu, 8/8 decided)
            Supa Fitingu vs Heavy Metal           :   6W   0L   2D (100.0% for Supa Fitingu, 6/8 decided)
            Supa Fitingu vs Stop Bugging Me       :   8W   0L   0D (100.0% for Supa Fitingu, 8/8 decided)
            Supa Fitingu vs Electric Boogaloo     :   8W   0L   0D (100.0% for Supa Fitingu, 8/8 decided)
            Supa Fitingu vs Fly Away Now          :   4W   3L   1D ( 57.1% for Supa Fitingu, 7/8 decided)
            Supa Fitingu vs Toxic Team            :   7W   1L   0D ( 87.5% for Supa Fitingu, 8/8 decided)
            Supa Fitingu vs Rock Hard             :   8W   0L   0D (100.0% for Supa Fitingu, 8/8 decided)
            Supa Fitingu vs RuPauls Dragon Race   :   0W   7L   1D (  0.0% for Supa Fitingu, 7/8 decided)
            Supa Fitingu vs Soft and Wet          :   0W   0L   8D (  0.0% for Supa Fitingu, 0/8 decided)
            Supa Fitingu vs Your Ass is Grass     :   5W   3L   0D ( 62.5% for Supa Fitingu, 8/8 decided)
            Supa Fitingu vs Brain Blast           :   8W   0L   0D (100.0% for Supa Fitingu, 8/8 decided)
            Supa Fitingu vs Disco Inferno         :   0W   8L   0D (  0.0% for Supa Fitingu, 8/8 decided)
    I Believe In Fairies vs Grounded Grounded Gro…:   6W   2L   0D ( 75.0% for I Believe In Fairies, 8/8 decided)
    I Believe In Fairies vs Ice Ice Baby          :   8W   0L   0D (100.0% for I Believe In Fairies, 8/8 decided)
    I Believe In Fairies vs Heavy Metal           :   1W   7L   0D ( 12.5% for I Believe In Fairies, 8/8 decided)
    I Believe In Fairies vs Stop Bugging Me       :   5W   3L   0D ( 62.5% for I Believe In Fairies, 8/8 decided)
    I Believe In Fairies vs Electric Boogaloo     :   4W   4L   0D ( 50.0% for I Believe In Fairies, 8/8 decided)
    I Believe In Fairies vs Fly Away Now          :   0W   1L   7D (  0.0% for I Believe In Fairies, 1/8 decided)
    I Believe In Fairies vs Toxic Team            :   1W   7L   0D ( 12.5% for I Believe In Fairies, 8/8 decided)
    I Believe In Fairies vs Rock Hard             :   8W   0L   0D (100.0% for I Believe In Fairies, 8/8 decided)
    I Believe In Fairies vs RuPauls Dragon Race   :   1W   7L   0D ( 12.5% for I Believe In Fairies, 8/8 decided)
    I Believe In Fairies vs Soft and Wet          :   0W   8L   0D (  0.0% for I Believe In Fairies, 8/8 decided)
    I Believe In Fairies vs Your Ass is Grass     :   5W   3L   0D ( 62.5% for I Believe In Fairies, 8/8 decided)
    I Believe In Fairies vs Brain Blast           :   7W   1L   0D ( 87.5% for I Believe In Fairies, 8/8 decided)
    I Believe In Fairies vs Disco Inferno         :   1W   7L   0D ( 12.5% for I Believe In Fairies, 8/8 decided)
  Grounded Grounded Gro… vs Ice Ice Baby          :   4W   4L   0D ( 50.0% for Grounded Grounded Gro…, 8/8 decided)
  Grounded Grounded Gro… vs Heavy Metal           :   2W   2L   4D ( 50.0% for Grounded Grounded Gro…, 4/8 decided)
  Grounded Grounded Gro… vs Stop Bugging Me       :   5W   3L   0D ( 62.5% for Grounded Grounded Gro…, 8/8 decided)
  Grounded Grounded Gro… vs Electric Boogaloo     :   7W   1L   0D ( 87.5% for Grounded Grounded Gro…, 8/8 decided)
  Grounded Grounded Gro… vs Fly Away Now          :   0W   5L   3D (  0.0% for Grounded Grounded Gro…, 5/8 decided)
  Grounded Grounded Gro… vs Toxic Team            :   6W   1L   1D ( 85.7% for Grounded Grounded Gro…, 7/8 decided)
  Grounded Grounded Gro… vs Rock Hard             :   3W   4L   1D ( 42.9% for Grounded Grounded Gro…, 7/8 decided)
  Grounded Grounded Gro… vs RuPauls Dragon Race   :   4W   2L   2D ( 66.7% for Grounded Grounded Gro…, 6/8 decided)
  Grounded Grounded Gro… vs Soft and Wet          :   2W   0L   6D (100.0% for Grounded Grounded Gro…, 2/8 decided)
  Grounded Grounded Gro… vs Your Ass is Grass     :   4W   4L   0D ( 50.0% for Grounded Grounded Gro…, 8/8 decided)
  Grounded Grounded Gro… vs Brain Blast           :   0W   8L   0D (  0.0% for Grounded Grounded Gro…, 8/8 decided)
  Grounded Grounded Gro… vs Disco Inferno         :   5W   3L   0D ( 62.5% for Grounded Grounded Gro…, 8/8 decided)
            Ice Ice Baby vs Heavy Metal           :   0W   7L   1D (  0.0% for Ice Ice Baby, 7/8 decided)
            Ice Ice Baby vs Stop Bugging Me       :   0W   8L   0D (  0.0% for Ice Ice Baby, 8/8 decided)
            Ice Ice Baby vs Electric Boogaloo     :   0W   8L   0D (  0.0% for Ice Ice Baby, 8/8 decided)
            Ice Ice Baby vs Fly Away Now          :   8W   0L   0D (100.0% for Ice Ice Baby, 8/8 decided)
            Ice Ice Baby vs Toxic Team            :   0W   8L   0D (  0.0% for Ice Ice Baby, 8/8 decided)
            Ice Ice Baby vs Rock Hard             :   0W   1L   7D (  0.0% for Ice Ice Baby, 1/8 decided)
            Ice Ice Baby vs RuPauls Dragon Race   :   2W   6L   0D ( 25.0% for Ice Ice Baby, 8/8 decided)
            Ice Ice Baby vs Soft and Wet          :   2W   1L   5D ( 66.7% for Ice Ice Baby, 3/8 decided)
            Ice Ice Baby vs Your Ass is Grass     :   4W   4L   0D ( 50.0% for Ice Ice Baby, 8/8 decided)
            Ice Ice Baby vs Brain Blast           :   0W   8L   0D (  0.0% for Ice Ice Baby, 8/8 decided)
            Ice Ice Baby vs Disco Inferno         :   1W   7L   0D ( 12.5% for Ice Ice Baby, 8/8 decided)
             Heavy Metal vs Stop Bugging Me       :   5W   3L   0D ( 62.5% for Heavy Metal, 8/8 decided)
             Heavy Metal vs Electric Boogaloo     :   8W   0L   0D (100.0% for Heavy Metal, 8/8 decided)
             Heavy Metal vs Fly Away Now          :   4W   1L   3D ( 80.0% for Heavy Metal, 5/8 decided)
             Heavy Metal vs Toxic Team            :   8W   0L   0D (100.0% for Heavy Metal, 8/8 decided)
             Heavy Metal vs Rock Hard             :   8W   0L   0D (100.0% for Heavy Metal, 8/8 decided)
             Heavy Metal vs RuPauls Dragon Race   :   3W   2L   3D ( 60.0% for Heavy Metal, 5/8 decided)
             Heavy Metal vs Soft and Wet          :   0W   0L   8D (  0.0% for Heavy Metal, 0/8 decided)
             Heavy Metal vs Your Ass is Grass     :   7W   1L   0D ( 87.5% for Heavy Metal, 8/8 decided)
             Heavy Metal vs Brain Blast           :   2W   5L   1D ( 28.6% for Heavy Metal, 7/8 decided)
             Heavy Metal vs Disco Inferno         :   0W   8L   0D (  0.0% for Heavy Metal, 8/8 decided)
         Stop Bugging Me vs Electric Boogaloo     :   0W   6L   2D (  0.0% for Stop Bugging Me, 6/8 decided)
         Stop Bugging Me vs Fly Away Now          :   1W   5L   2D ( 16.7% for Stop Bugging Me, 6/8 decided)
         Stop Bugging Me vs Toxic Team            :   1W   7L   0D ( 12.5% for Stop Bugging Me, 8/8 decided)
         Stop Bugging Me vs Rock Hard             :   2W   6L   0D ( 25.0% for Stop Bugging Me, 8/8 decided)
         Stop Bugging Me vs RuPauls Dragon Race   :   4W   2L   2D ( 66.7% for Stop Bugging Me, 6/8 decided)
         Stop Bugging Me vs Soft and Wet          :   3W   1L   4D ( 75.0% for Stop Bugging Me, 4/8 decided)
         Stop Bugging Me vs Your Ass is Grass     :   7W   1L   0D ( 87.5% for Stop Bugging Me, 8/8 decided)
         Stop Bugging Me vs Brain Blast           :   5W   3L   0D ( 62.5% for Stop Bugging Me, 8/8 decided)
         Stop Bugging Me vs Disco Inferno         :   0W   7L   1D (  0.0% for Stop Bugging Me, 7/8 decided)
       Electric Boogaloo vs Fly Away Now          :   2W   6L   0D ( 25.0% for Electric Boogaloo, 8/8 decided)
       Electric Boogaloo vs Toxic Team            :   1W   7L   0D ( 12.5% for Electric Boogaloo, 8/8 decided)
       Electric Boogaloo vs Rock Hard             :   0W   8L   0D (  0.0% for Electric Boogaloo, 8/8 decided)
       Electric Boogaloo vs RuPauls Dragon Race   :   0W   8L   0D (  0.0% for Electric Boogaloo, 8/8 decided)
       Electric Boogaloo vs Soft and Wet          :   0W   1L   7D (  0.0% for Electric Boogaloo, 1/8 decided)
       Electric Boogaloo vs Your Ass is Grass     :   4W   4L   0D ( 50.0% for Electric Boogaloo, 8/8 decided)
       Electric Boogaloo vs Brain Blast           :   0W   8L   0D (  0.0% for Electric Boogaloo, 8/8 decided)
       Electric Boogaloo vs Disco Inferno         :   0W   8L   0D (  0.0% for Electric Boogaloo, 8/8 decided)
            Fly Away Now vs Toxic Team            :   1W   2L   5D ( 33.3% for Fly Away Now, 3/8 decided)
            Fly Away Now vs Rock Hard             :   0W   7L   1D (  0.0% for Fly Away Now, 7/8 decided)
            Fly Away Now vs RuPauls Dragon Race   :   5W   2L   1D ( 71.4% for Fly Away Now, 7/8 decided)
            Fly Away Now vs Soft and Wet          :   6W   0L   2D (100.0% for Fly Away Now, 6/8 decided)
            Fly Away Now vs Your Ass is Grass     :   8W   0L   0D (100.0% for Fly Away Now, 8/8 decided)
            Fly Away Now vs Brain Blast           :   4W   2L   2D ( 66.7% for Fly Away Now, 6/8 decided)
            Fly Away Now vs Disco Inferno         :   2W   6L   0D ( 25.0% for Fly Away Now, 8/8 decided)
              Toxic Team vs Rock Hard             :   6W   1L   1D ( 85.7% for Toxic Team, 7/8 decided)
              Toxic Team vs RuPauls Dragon Race   :   0W   8L   0D (  0.0% for Toxic Team, 8/8 decided)
              Toxic Team vs Soft and Wet          :   0W   0L   8D (  0.0% for Toxic Team, 0/8 decided)
              Toxic Team vs Your Ass is Grass     :   8W   0L   0D (100.0% for Toxic Team, 8/8 decided)
              Toxic Team vs Brain Blast           :   6W   1L   1D ( 85.7% for Toxic Team, 7/8 decided)
              Toxic Team vs Disco Inferno         :   0W   8L   0D (  0.0% for Toxic Team, 8/8 decided)
               Rock Hard vs RuPauls Dragon Race   :   3W   5L   0D ( 37.5% for Rock Hard, 8/8 decided)
               Rock Hard vs Soft and Wet          :   0W   0L   8D (  0.0% for Rock Hard, 0/8 decided)
               Rock Hard vs Your Ass is Grass     :   6W   2L   0D ( 75.0% for Rock Hard, 8/8 decided)
               Rock Hard vs Brain Blast           :   6W   0L   2D (100.0% for Rock Hard, 6/8 decided)
               Rock Hard vs Disco Inferno         :   8W   0L   0D (100.0% for Rock Hard, 8/8 decided)
     RuPauls Dragon Race vs Soft and Wet          :   4W   0L   4D (100.0% for RuPauls Dragon Race, 4/8 decided)
     RuPauls Dragon Race vs Your Ass is Grass     :   5W   1L   2D ( 83.3% for RuPauls Dragon Race, 6/8 decided)
     RuPauls Dragon Race vs Brain Blast           :   2W   0L   6D (100.0% for RuPauls Dragon Race, 2/8 decided)
     RuPauls Dragon Race vs Disco Inferno         :   4W   2L   2D ( 66.7% for RuPauls Dragon Race, 6/8 decided)
            Soft and Wet vs Your Ass is Grass     :   0W   0L   8D (  0.0% for Soft and Wet, 0/8 decided)
            Soft and Wet vs Brain Blast           :   0W   0L   8D (  0.0% for Soft and Wet, 0/8 decided)
            Soft and Wet vs Disco Inferno         :   1W   7L   0D ( 12.5% for Soft and Wet, 8/8 decided)
       Your Ass is Grass vs Brain Blast           :   8W   0L   0D (100.0% for Your Ass is Grass, 8/8 decided)
       Your Ass is Grass vs Disco Inferno         :   0W   8L   0D (  0.0% for Your Ass is Grass, 8/8 decided)
             Brain Blast vs Disco Inferno         :   0W   8L   0D (  0.0% for Brain Blast, 8/8 decided)

=== Per-team standings (Wilson 95% CI on decided games) ===
                    team    win%           95% CI     W/   L/   D  decided%
           Disco Inferno   77.4%     [69.6, 83.7]   103/  30/   3   97.8%
             Spooky Team   67.6%     [58.1, 75.9]    69/  33/  34   75.0%
             Heavy Metal   66.7%     [57.3, 74.8]    72/  36/  28   79.4%
     RuPauls Dragon Race   66.4%     [57.1, 74.5]    73/  37/  26   80.9%
            Supa Fitingu   65.3%     [56.5, 73.2]    79/  42/  15   89.0%
              Toxic Team   57.4%     [48.3, 66.0]    66/  49/  21   84.6%
    I Believe In Fairies   56.2%     [47.6, 64.5]    72/  56/   8   94.1%
               Dork Team   56.1%     [47.3, 64.6]    69/  54/  13   90.4%
               Rock Hard   55.4%     [46.1, 64.2]    62/  50/  24   82.4%
  Grounded Grounded Gro…   50.9%     [41.8, 59.9]    58/  56/  22   83.8%
            Fly Away Now   48.1%     [38.7, 57.6]    50/  54/  32   76.5%
         Stop Bugging Me   47.2%     [38.6, 55.9]    58/  65/  13   90.4%
             Brain Blast   42.6%     [33.7, 52.0]    46/  62/  28   79.4%
       Your Ass is Grass   30.6%     [23.2, 39.2]    38/  86/  12   91.2%
            Soft and Wet   27.3%     [16.3, 41.8]    12/  32/  92   32.4%
     Totally Normal Team   25.7%     [18.3, 34.8]    27/  78/  31   77.2%
       Electric Boogaloo   22.1%     [15.7, 30.3]    27/  95/  14   89.7%
            Ice Ice Baby   21.6%     [15.0, 29.9]    25/  91/  20   85.3%

Note: Tera-suppressed (monotype rule). Move choices ending in '-tera' were filtered before each turn.
