=== monotype round-robin: 18 teams, 153 pairs, 8 games/pair, 200ms search, 22 workers, 1224 total games ===
  [ 0] Dork Team
  [ 1] Totally Normal Team
  [ 2] Spooky Team
  [ 3] Supa Fitingu
  [ 4] I Believe In Fairies
  [ 5] Grounded Grounded Grounded
  [ 6] Ice Ice Baby
  [ 7] Heavy Metal
  [ 8] Stop Bugging Me
  [ 9] Electric Boogaloo
  [10] Fly Away Now
  [11] Toxic Team
  [12] Rock Hard
  [13] RuPauls Dragon Race
  [14] Soft and Wet
  [15] Your Ass is Grass
  [16] Brain Blast
  [17] Disco Inferno
  [61/1224] 75s
  [122/1224] 144s
  [183/1224] 217s
  [244/1224] 309s
  [305/1224] 385s
  [366/1224] 472s
  [427/1224] 545s
  [488/1224] 614s
  [549/1224] 688s
  [610/1224] 778s
  [671/1224] 884s
  [732/1224] 955s
  [793/1224] 1051s
  [854/1224] 1136s
  [915/1224] 1220s
  [976/1224] 1295s
  [1037/1224] 1399s
  [1098/1224] 1476s
  [1159/1224] 1543s
  [1220/1224] 1617s

Done in 1624s

=== Per-pair results ===
               Dork Team vs Totally Normal Team   :   2W   0L   6D (100.0% for Dork Team, 2/8 decided)
               Dork Team vs Spooky Team           :   3W   5L   0D ( 37.5% for Dork Team, 8/8 decided)
               Dork Team vs Supa Fitingu          :   1W   5L   2D ( 16.7% for Dork Team, 6/8 decided)
               Dork Team vs I Believe In Fairies  :   3W   5L   0D ( 37.5% for Dork Team, 8/8 decided)
               Dork Team vs Grounded Grounded Gro…:   3W   5L   0D ( 37.5% for Dork Team, 8/8 decided)
               Dork Team vs Ice Ice Baby          :   5W   1L   2D ( 83.3% for Dork Team, 6/8 decided)
               Dork Team vs Heavy Metal           :   3W   0L   5D (100.0% for Dork Team, 3/8 decided)
               Dork Team vs Stop Bugging Me       :   1W   5L   2D ( 16.7% for Dork Team, 6/8 decided)
               Dork Team vs Electric Boogaloo     :   8W   0L   0D (100.0% for Dork Team, 8/8 decided)
               Dork Team vs Fly Away Now          :   4W   2L   2D ( 66.7% for Dork Team, 6/8 decided)
               Dork Team vs Toxic Team            :   7W   1L   0D ( 87.5% for Dork Team, 8/8 decided)
               Dork Team vs Rock Hard             :   0W   8L   0D (  0.0% for Dork Team, 8/8 decided)
               Dork Team vs RuPauls Dragon Race   :   5W   3L   0D ( 62.5% for Dork Team, 8/8 decided)
               Dork Team vs Soft and Wet          :   3W   0L   5D (100.0% for Dork Team, 3/8 decided)
               Dork Team vs Your Ass is Grass     :   1W   5L   2D ( 16.7% for Dork Team, 6/8 decided)
               Dork Team vs Brain Blast           :   7W   0L   1D (100.0% for Dork Team, 7/8 decided)
               Dork Team vs Disco Inferno         :   6W   2L   0D ( 75.0% for Dork Team, 8/8 decided)
     Totally Normal Team vs Spooky Team           :   0W   5L   3D (  0.0% for Totally Normal Team, 5/8 decided)
     Totally Normal Team vs Supa Fitingu          :   0W   3L   5D (  0.0% for Totally Normal Team, 3/8 decided)
     Totally Normal Team vs I Believe In Fairies  :   0W   7L   1D (  0.0% for Totally Normal Team, 7/8 decided)
     Totally Normal Team vs Grounded Grounded Gro…:   2W   5L   1D ( 28.6% for Totally Normal Team, 7/8 decided)
     Totally Normal Team vs Ice Ice Baby          :   8W   0L   0D (100.0% for Totally Normal Team, 8/8 decided)
     Totally Normal Team vs Heavy Metal           :   0W   3L   5D (  0.0% for Totally Normal Team, 3/8 decided)
