 Total battles: 115289
 Avg. weight/team: 0.001
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Volcarona          | 96.19351% | 15486  | 89.696% | 11352  | 85.020% | 
 | 2    | Scizor             | 96.10840% | 13062  | 75.656% | 9952   | 74.535% | 
 | 3    | Kleavor            | 95.90643% | 11672  | 67.605% | 9796   | 73.366% | 
 | 4    | Araquanid          | 90.44593% | 12482  | 72.297% | 10420  | 78.040% | 
 | 5    | Lokix              | 85.25498% | 9189   | 53.223% | 6805   | 50.966% | 
 | 6    | Forretress         | 73.82421% | 9537   | 55.239% | 8152   | 61.054% | 
 | 7    | Slither Wing       | 22.18970% | 3452   | 19.994% | 2491   | 18.656% | 
 | 8    | Ribombee           | 12.20146% | 4782   | 27.698% | 3816   | 28.580% | 
 | 9    | Heracross          |  8.46015% | 3812   | 22.079% | 2693   | 20.169% | 
 | 10   | Yanmega            |  7.02042% | 4327   | 25.062% | 3063   | 22.940% | 
 | 11   | Frosmoth           |  5.70935% | 2444   | 14.156% | 1588   | 11.893% | 
 | 12   | Galvantula         |  3.09913% | 3909   | 22.641% | 3151   | 23.599% | 
 | 13   | Vivillon           |  1.26793% | 1319   |  7.640% | 1039   |  7.782% | 
 | 14   | Vikavolt           |  0.66307% | 1418   |  8.213% | 1102   |  8.253% | 
 | 15   | Illumise           |  0.43953% | 380    |  2.201% | 306    |  2.292% | 
 | 16   | Spidops            |  0.37928% | 178    |  1.031% | 170    |  1.273% | 
 | 17   | Rabsca             |  0.22575% | 1161   |  6.725% | 790    |  5.917% | 
 | 18   | Scyther            |  0.18849% | 929    |  5.381% | 688    |  5.153% | 
 | 19   | Venomoth           |  0.18288% | 1413   |  8.184% | 989    |  7.407% | 
 | 20   | Volbeat            |  0.09843% | 675    |  3.910% | 524    |  3.924% | 
 | 21   | Leavanny           |  0.03247% | 457    |  2.647% | 345    |  2.584% | 
 | 22   | Vespiquen          |  0.02719% | 202    |  1.170% | 136    |  1.019% | 
 | 23   | Larvesta           |  0.02644% | 42     |  0.243% | 34     |  0.255% | 
 | 24   | Venonat            |  0.01735% | 99     |  0.573% | 71     |  0.532% | 
 | 25   | Masquerain         |  0.01211% | 343    |  1.987% | 286    |  2.142% | 
 | 26   | Ariados            |  0.00989% | 266    |  1.541% | 220    |  1.648% | 
 | 27   | Spinarak           |  0.00565% | 10     |  0.058% | 10     |  0.075% | 
 | 28   | Snom               |  0.00357% | 5      |  0.029% | 5      |  0.037% | 
 | 29   | Surskit            |  0.00264% | 17     |  0.098% | 16     |  0.120% | 
 | 30   | Charjabug          |  0.00186% | 18     |  0.104% | 17     |  0.127% | 
 | 31   | Kricketune         |  0.00094% | 30     |  0.174% | 27     |  0.202% | 
 | 32   | Sewaddle           |  0.00022% | 3      |  0.017% | 3      |  0.022% | 
 | 33   | Swadloon           |  0.00003% | 8      |  0.046% | 8      |  0.060% | 
 | 34   | Pineco             |  0.00002% | 16     |  0.093% | 14     |  0.105% | 
 | 35   | Yanma              |  0.00001% | 7      |  0.041% | 5      |  0.037% | 
 | 36   | Spewpa             |  0.00000% | 2      |  0.012% | 2      |  0.015% | 
 | 37   | Dewpider           |  0.00000% | 2      |  0.012% | 2      |  0.015% | 
 | 38   | Cutiefly           |  0.00000% | 1      |  0.006% | 1      |  0.007% | 
 | 39   | Scatterbug         |  0.00000% | 4      |  0.023% | 3      |  0.022% | 
 | 40   | Nymble             |  0.00000% | 4      |  0.023% | 2      |  0.015% | 
 | 41   | Tarountula         |  0.00000% | 8      |  0.046% | 6      |  0.045% | 
 | 42   | Kricketot          |  0.00000% | 1      |  0.006% | 1      |  0.007% | 
 | 43   | Rellor             |  0.00000% | 3      |  0.017% | 1      |  0.007% | 
 | 44   | Grubbin            |  0.00000% | 3      |  0.017% | 3      |  0.022% | 
 | 45   | Combee             |  0.00000% | 13     |  0.075% | 8      |  0.060% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
