 Total battles: 115289
 Avg. weight/team: 0.018
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Archaludon         | 89.45931% | 14093  | 79.599% | 11844  | 89.132% | 
 | 2    | Goodra-Hisui       | 86.92077% | 11400  | 64.389% | 8872   | 66.766% | 
 | 3    | Dragapult          | 83.17660% | 14902  | 84.168% | 11050  | 83.157% | 
 | 4    | Roaring Moon       | 51.87371% | 9273   | 52.375% | 6557   | 49.345% | 
 | 5    | Garchomp           | 51.83898% | 9370   | 52.923% | 7546   | 56.787% | 
 | 6    | Latios             | 49.30779% | 6329   | 35.747% | 4469   | 33.631% | 
 | 7    | Raging Bolt        | 44.93713% | 6254   | 35.323% | 4454   | 33.519% | 
 | 8    | Kyurem             | 28.48638% | 4815   | 27.196% | 3434   | 25.843% | 
 | 9    | Dragonite          | 25.02113% | 6226   | 35.165% | 4433   | 33.361% | 
 | 10   | Walking Wake       | 23.24083% | 4015   | 22.677% | 2977   | 22.403% | 
 | 11   | Latias             | 20.73666% | 2733   | 15.436% | 1950   | 14.675% | 
 | 12   | Kommo-o            | 10.75220% | 2834   | 16.007% | 1941   | 14.607% | 
 | 13   | Hydreigon          |  9.24641% | 2215   | 12.511% | 1555   | 11.702% | 
 | 14   | Tatsugiri          |  4.19956% | 421    |  2.378% | 330    |  2.483% | 
 | 15   | Regidrago          |  4.19797% | 622    |  3.513% | 477    |  3.590% | 
 | 16   | Salamence          |  3.23160% | 1710   |  9.658% | 1227   |  9.234% | 
 | 17   | Cyclizar           |  2.62738% | 1126   |  6.360% | 832    |  6.261% | 
 | 18   | Haxorus            |  2.30158% | 1603   |  9.054% | 1149   |  8.647% | 
 | 19   | Noivern            |  2.11214% | 1053   |  5.947% | 810    |  6.096% | 
 | 20   | Dragalge           |  1.70520% | 1424   |  8.043% | 1033   |  7.774% | 
 | 21   | Hydrapple          |  1.14188% | 918    |  5.185% | 623    |  4.688% | 
 | 22   | Kingdra            |  0.63937% | 964    |  5.445% | 731    |  5.501% | 
 | 23   | Altaria            |  0.60371% | 258    |  1.457% | 209    |  1.573% | 
 | 24   | Duraludon          |  0.58631% | 377    |  2.129% | 326    |  2.453% | 
 | 25   | Goodra             |  0.46458% | 364    |  2.056% | 270    |  2.032% | 
 | 26   | Dipplin            |  0.38313% | 59     |  0.333% | 53     |  0.399% | 
 | 27   | Exeggutor-Alola    |  0.22202% | 133    |  0.751% | 114    |  0.858% | 
 | 28   | Appletun           |  0.04728% | 159    |  0.898% | 111    |  0.835% | 
 | 29   | Flygon             |  0.02505% | 319    |  1.802% | 260    |  1.957% | 
 | 30   | Flapple            |  0.01997% | 66     |  0.373% | 39     |  0.293% | 
 | 31   | Sliggoo-Hisui      |  0.01020% | 8      |  0.045% | 7      |  0.053% | 
 | 32   | Gabite             |  0.00984% | 17     |  0.096% | 15     |  0.113% | 
 | 33   | Dragonair          |  0.00876% | 15     |  0.085% | 13     |  0.098% | 
 | 34   | Fraxure            |  0.00341% | 2      |  0.011% | 1      |  0.008% | 
 | 35   | Shelgon            |  0.00033% | 4      |  0.023% | 3      |  0.023% | 
 | 36   | Sliggoo            |  0.00032% | 4      |  0.023% | 1      |  0.008% | 
 | 37   | Axew               |  0.00003% | 1      |  0.006% | 1      |  0.008% | 
 | 38   | Drakloak           |  0.00000% | 4      |  0.023% | 3      |  0.023% | 
 | 39   | Goomy              |  0.00000% | 4      |  0.023% | 3      |  0.023% | 
 | 40   | Applin             |  0.00000% | 5      |  0.028% | 4      |  0.030% | 
 | 41   | Frigibax           |  0.00000% | 3      |  0.017% | 1      |  0.008% | 
 | 42   | Hakamo-o           |  0.00000% | 2      |  0.011% | 1      |  0.008% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
