 Total battles: 115289
 Avg. weight/team: 0.002
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Flutter Mane       | 96.47167% | 8370   | 81.420% | 6339   | 79.898% | 
 | 2    | Iron Valiant       | 92.91435% | 7315   | 71.158% | 4974   | 62.694% | 
 | 3    | Klefki             | 80.09139% | 4051   | 39.407% | 3734   | 47.064% | 
 | 4    | Azumarill          | 76.65336% | 5353   | 52.072% | 4130   | 52.056% | 
 | 5    | Primarina          | 74.41028% | 4522   | 43.988% | 3386   | 42.678% | 
 | 6    | Hatterene          | 62.40487% | 4897   | 47.636% | 3773   | 47.556% | 
 | 7    | Enamorus           | 31.50660% | 2914   | 28.346% | 2169   | 27.339% | 
 | 8    | Tinkaton           | 28.82977% | 4474   | 43.521% | 3733   | 47.052% | 
 | 9    | Clefable           | 18.83124% | 2661   | 25.885% | 1928   | 24.301% | 
 | 10   | Mimikyu            |  9.00573% | 2507   | 24.387% | 1830   | 23.066% | 
 | 11   | Weezing-Galar      |  6.57414% | 3117   | 30.321% | 2517   | 31.725% | 
 | 12   | Fezandipiti        |  6.54758% | 836    |  8.132% | 633    |  7.978% | 
 | 13   | Ribombee           |  5.69563% | 2046   | 19.903% | 1837   | 23.154% | 
 | 14   | Grimmsnarl         |  3.24998% | 1434   | 13.949% | 1265   | 15.944% | 
 | 15   | Gardevoir          |  2.32887% | 810    |  7.879% | 607    |  7.651% | 
 | 16   | Enamorus-Therian   |  1.72108% | 280    |  2.724% | 208    |  2.622% | 
 | 17   | Comfey             |  1.23837% | 664    |  6.459% | 456    |  5.748% | 
 | 18   | Ninetales-Alola    |  0.56331% | 931    |  9.056% | 794    | 10.008% | 
 | 19   | Whimsicott         |  0.30556% | 648    |  6.304% | 520    |  6.554% | 
 | 20   | Diancie            |  0.26321% | 878    |  8.541% | 685    |  8.634% | 
 | 21   | Scream Tail        |  0.15579% | 750    |  7.296% | 602    |  7.588% | 
 | 22   | Sylveon            |  0.11080% | 1129   | 10.982% | 763    |  9.617% | 
 | 23   | Florges            |  0.07295% | 217    |  2.111% | 158    |  1.991% | 
 | 24   | Dachsbun           |  0.03266% | 187    |  1.819% | 138    |  1.739% | 
 | 25   | Granbull           |  0.00980% | 171    |  1.663% | 125    |  1.576% | 
 | 26   | Carbink            |  0.00521% | 95     |  0.924% | 81     |  1.021% | 
 | 27   | Alcremie           |  0.00291% | 93     |  0.905% | 69     |  0.870% | 
 | 28   | Dedenne            |  0.00258% | 99     |  0.963% | 83     |  1.046% | 
 | 29   | Wigglytuff         |  0.00033% | 59     |  0.574% | 43     |  0.542% | 
 | 30   | Clefairy           |  0.00000% | 25     |  0.243% | 16     |  0.202% | 
 | 31   | Morgrem            |  0.00000% | 1      |  0.010% | 1      |  0.013% | 
 | 32   | Snubbull           |  0.00000% | 3      |  0.029% | 2      |  0.025% | 
 | 33   | Marill             |  0.00000% | 1      |  0.010% | 1      |  0.013% | 
 | 34   | Floette            |  0.00000% | 4      |  0.039% | 3      |  0.038% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
