 Total battles: 115289
 Avg. weight/team: 0.033
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Iron Valiant       | 85.55619% | 9875   | 72.792% | 6911   | 67.337% | 
 | 2    | Sneasler           | 78.67761% | 9540   | 70.323% | 7344   | 71.556% | 
 | 3    | Great Tusk         | 71.51531% | 8348   | 61.536% | 6675   | 65.037% | 
 | 4    | Iron Hands         | 69.87744% | 7814   | 57.600% | 6050   | 58.948% | 
 | 5    | Urshifu-Rapid-Strike | 60.70407% | 7490   | 55.212% | 5645   | 55.002% | 
 | 6    | Gallade            | 38.85213% | 4462   | 32.891% | 3371   | 32.845% | 
 | 7    | Scrafty            | 24.68078% | 3152   | 23.235% | 2408   | 23.462% | 
 | 8    | Keldeo             | 20.34621% | 2304   | 16.984% | 1787   | 17.411% | 
 | 9    | Zapdos-Galar       | 14.92049% | 2005   | 14.780% | 1551   | 15.112% | 
 | 10   | Kommo-o            | 13.41375% | 2579   | 19.011% | 1896   | 18.474% | 
 | 11   | Quaquaval          | 13.13573% | 2315   | 17.065% | 1738   | 16.934% | 
 | 12   | Breloom            | 11.93933% | 2125   | 15.664% | 1565   | 15.248% | 
 | 13   | Cobalion           | 11.59138% | 1524   | 11.234% | 1289   | 12.559% | 
 | 14   | Infernape          | 10.12775% | 1923   | 14.175% | 1515   | 14.761% | 
 | 15   | Okidogi            |  9.09692% | 1182   |  8.713% | 892    |  8.691% | 
 | 16   | Lucario            |  8.20144% | 1876   | 13.829% | 1430   | 13.933% | 
 | 17   | Hawlucha           |  6.93945% | 1540   | 11.352% | 1148   | 11.185% | 
 | 18   | Slither Wing       |  5.97296% | 944    |  6.959% | 705    |  6.869% | 
 | 19   | Conkeldurr         |  5.58305% | 1587   | 11.698% | 1247   | 12.150% | 
 | 20   | Hitmonlee          |  5.21332% | 923    |  6.804% | 698    |  6.801% | 
 | 21   | Lilligant-Hisui    |  4.45073% | 748    |  5.514% | 516    |  5.028% | 
 | 22   | Mienshao           |  3.85711% | 1035   |  7.629% | 719    |  7.006% | 
 | 23   | Pawmot             |  2.90967% | 751    |  5.536% | 527    |  5.135% | 
 | 24   | Terrakion          |  2.63780% | 312    |  2.300% | 243    |  2.368% | 
 | 25   | Emboar             |  2.30408% | 305    |  2.248% | 232    |  2.260% | 
 | 26   | Chesnaught         |  1.78070% | 336    |  2.477% | 273    |  2.660% | 
 | 27   | Tauros-Paldea-Blaze |  1.60113% | 337    |  2.484% | 253    |  2.465% | 
 | 28   | Flamigo            |  1.59662% | 255    |  1.880% | 189    |  1.842% | 
 | 29   | Hariyama           |  1.55691% | 286    |  2.108% | 243    |  2.368% | 
 | 30   | Hitmontop          |  1.51031% | 451    |  3.324% | 346    |  3.371% | 
 | 31   | Virizion           |  1.48795% | 190    |  1.401% | 150    |  1.462% | 
 | 32   | Decidueye-Hisui    |  1.40458% | 320    |  2.359% | 243    |  2.368% | 
 | 33   | Gurdurr            |  1.15650% | 173    |  1.275% | 137    |  1.335% | 
 | 34   | Heracross          |  1.15452% | 514    |  3.789% | 338    |  3.293% | 
 | 35   | Toxicroak          |  1.08775% | 653    |  4.814% | 376    |  3.664% | 
 | 36   | Medicham           |  0.97503% | 181    |  1.334% | 147    |  1.432% | 
 | 37   | Primeape           |  0.61096% | 259    |  1.909% | 215    |  2.095% | 
 | 38   | Crabominable       |  0.35966% | 82     |  0.604% | 61     |  0.594% | 
 | 39   | Tauros-Paldea-Aqua |  0.30857% | 67     |  0.494% | 51     |  0.497% | 
 | 40   | Hitmonchan         |  0.29673% | 196    |  1.445% | 148    |  1.442% | 
 | 41   | Falinks            |  0.22749% | 165    |  1.216% | 121    |  1.179% | 
 | 42   | Sneasel-Hisui      |  0.15431% | 17     |  0.125% | 16     |  0.156% | 
 | 43   | Poliwrath          |  0.10117% | 64     |  0.472% | 49     |  0.477% | 
 | 44   | Combusken          |  0.03743% | 19     |  0.140% | 14     |  0.136% | 
 | 45   | Passimian          |  0.02929% | 39     |  0.287% | 36     |  0.351% | 
 | 46   | Riolu              |  0.01515% | 5      |  0.037% | 5      |  0.049% | 
 | 47   | Tauros-Paldea-Combat |  0.00293% | 36     |  0.265% | 30     |  0.292% | 
 | 48   | Crabrawler         |  0.00000% | 34     |  0.251% | 24     |  0.234% | 
 | 49   | Scraggy            |  0.00000% | 12     |  0.088% | 6      |  0.058% | 
 | 50   | Hakamo-o           |  0.00000% | 12     |  0.088% | 7      |  0.068% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
