 Total battles: 115289
 Avg. weight/team: 0.032
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Ogerpon-Hearthflame | 76.69772% | 8818   | 68.756% | 6620   | 67.018% | 
 | 2    | Cinderace          | 73.08841% | 8087   | 63.057% | 5989   | 60.630% | 
 | 3    | Ceruledge          | 64.52434% | 7378   | 57.528% | 5667   | 57.370% | 
 | 4    | Volcanion          | 55.20965% | 6434   | 50.168% | 4887   | 49.474% | 
 | 5    | Volcarona          | 55.04484% | 6893   | 53.747% | 4719   | 47.773% | 
 | 6    | Heatran            | 54.26585% | 6233   | 48.600% | 5100   | 51.630% | 
 | 7    | Torkoal            | 40.48717% | 5296   | 41.294% | 4872   | 49.322% | 
 | 8    | Ninetales          | 26.84700% | 3211   | 25.037% | 2674   | 27.070% | 
 | 9    | Moltres            | 18.72109% | 2183   | 17.021% | 1677   | 16.977% | 
 | 10   | Arcanine-Hisui     | 18.64490% | 2845   | 22.183% | 2073   | 20.986% | 
 | 11   | Talonflame         | 16.09914% | 2166   | 16.889% | 1689   | 17.099% | 
 | 12   | Iron Moth          | 14.64054% | 1928   | 15.033% | 1402   | 14.193% | 
 | 13   | Incineroar         | 14.23656% | 2184   | 17.029% | 1876   | 18.992% | 
 | 14   | Skeledirge         | 12.59771% | 2320   | 18.090% | 1678   | 16.987% | 
 | 15   | Rotom-Heat         | 10.15436% | 1621   | 12.639% | 1381   | 13.981% | 
 | 16   | Scovillain         |  8.57725% | 1201   |  9.365% | 853    |  8.635% | 
 | 17   | Charizard          |  5.70497% | 1177   |  9.177% | 881    |  8.919% | 
 | 18   | Infernape          |  5.20995% | 1198   |  9.341% | 897    |  9.081% | 
 | 19   | Armarouge          |  4.37300% | 754    |  5.879% | 542    |  5.487% | 
 | 20   | Tauros-Paldea-Blaze |  3.69077% | 543    |  4.234% | 444    |  4.495% | 
 | 21   | Typhlosion-Hisui   |  3.53123% | 614    |  4.788% | 436    |  4.414% | 
 | 22   | Salazzle           |  2.65157% | 678    |  5.287% | 513    |  5.193% | 
 | 23   | Chandelure         |  2.60501% | 582    |  4.538% | 437    |  4.424% | 
 | 24   | Delphox            |  2.41439% | 426    |  3.322% | 320    |  3.240% | 
 | 25   | Emboar             |  1.51975% | 234    |  1.825% | 177    |  1.792% | 
 | 26   | Flareon            |  1.32786% | 245    |  1.910% | 182    |  1.842% | 
 | 27   | Oricorio           |  1.21316% | 145    |  1.131% | 112    |  1.134% | 
 | 28   | Coalossal          |  1.16029% | 274    |  2.136% | 226    |  2.288% | 
 | 29   | Entei              |  1.13610% | 226    |  1.762% | 166    |  1.681% | 
 | 30   | Arcanine           |  0.84966% | 256    |  1.996% | 196    |  1.984% | 
 | 31   | Typhlosion         |  0.81240% | 131    |  1.021% | 95     |  0.962% | 
 | 32   | Magmortar          |  0.35794% | 123    |  0.959% | 90     |  0.911% | 
 | 33   | Houndoom           |  0.31956% | 143    |  1.115% | 104    |  1.053% | 
 | 34   | Raboot             |  0.29029% | 26     |  0.203% | 26     |  0.263% | 
 | 35   | Carkol             |  0.24227% | 59     |  0.460% | 55     |  0.557% | 
 | 36   | Camerupt           |  0.23301% | 105    |  0.819% | 86     |  0.871% | 
 | 37   | Pyroar             |  0.12039% | 46     |  0.359% | 34     |  0.344% | 
 | 38   | Combusken          |  0.09677% | 19     |  0.148% | 13     |  0.132% | 
 | 39   | Crocalor           |  0.08318% | 12     |  0.094% | 11     |  0.111% | 
 | 40   | Magmar             |  0.02249% | 7      |  0.055% | 6      |  0.061% | 
 | 41   | Charmander         |  0.02033% | 6      |  0.047% | 6      |  0.061% | 
 | 42   | Litwick            |  0.01631% | 8      |  0.062% | 8      |  0.081% | 
 | 43   | Lampent            |  0.01140% | 6      |  0.047% | 5      |  0.051% | 
 | 44   | Magcargo           |  0.00502% | 58     |  0.452% | 35     |  0.354% | 
 | 45   | Fuecoco            |  0.00500% | 1      |  0.008% | 1      |  0.010% | 
 | 46   | Scorbunny          |  0.00491% | 2      |  0.016% | 2      |  0.020% | 
 | 47   | Growlithe          |  0.00416% | 1      |  0.008% | 1      |  0.010% | 
 | 48   | Pignite            |  0.00306% | 1      |  0.008% | 1      |  0.010% | 
 | 49   | Tepig              |  0.00090% | 1      |  0.008% | 1      |  0.010% | 
 | 50   | Braixen            |  0.00090% | 1      |  0.008% | 1      |  0.010% | 
 | 51   | Quilava            |  0.00079% | 1      |  0.008% | 1      |  0.010% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
