 Total battles: 115289
 Avg. weight/team: 0.032
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Corviknight        | 74.35442% | 8199   | 70.402% | 6479   | 72.731% | 
 | 2    | Gliscor            | 70.58221% | 7946   | 68.229% | 6675   | 74.931% | 
 | 3    | Dragonite          | 56.88630% | 6121   | 52.559% | 4176   | 46.878% | 
 | 4    | Tornadus-Therian   | 43.67072% | 4018   | 34.501% | 3232   | 36.281% | 
 | 5    | Enamorus           | 39.80458% | 3853   | 33.084% | 2729   | 30.635% | 
 | 6    | Skarmory           | 37.18225% | 3759   | 32.277% | 3174   | 35.630% | 
 | 7    | Landorus           | 35.38846% | 3722   | 31.959% | 2829   | 31.757% | 
 | 8    | Moltres            | 31.81393% | 3007   | 25.820% | 2283   | 25.628% | 
 | 9    | Articuno           | 27.31932% | 2482   | 21.312% | 1835   | 20.599% | 
 | 10   | Landorus-Therian   | 23.93739% | 2602   | 22.342% | 2213   | 24.842% | 
 | 11   | Zapdos             | 21.64525% | 2463   | 21.149% | 1895   | 21.273% | 
 | 12   | Gyarados           | 18.45985% | 2425   | 20.823% | 1852   | 20.790% | 
 | 13   | Zapdos-Galar       | 13.39645% | 1499   | 12.871% | 1113   | 12.494% | 
 | 14   | Moltres-Galar      | 12.42702% | 1595   | 13.696% | 1130   | 12.685% | 
 | 15   | Mandibuzz          | 11.45110% | 1538   | 13.206% | 1170   | 13.134% | 
 | 16   | Thundurus-Therian  | 10.16304% | 1441   | 12.373% | 1043   | 11.708% | 
 | 17   | Pelipper           |  9.76861% | 1611   | 13.833% | 1368   | 15.357% | 
 | 18   | Hawlucha           |  7.77148% | 1196   | 10.270% | 833    |  9.351% | 
 | 19   | Thundurus          |  5.03307% | 504    |  4.328% | 387    |  4.344% | 
 | 20   | Iron Jugulis       |  5.00314% | 703    |  6.036% | 519    |  5.826% | 
 | 21   | Kilowattrel        |  4.76053% | 841    |  7.221% | 665    |  7.465% | 
 | 22   | Talonflame         |  4.47625% | 844    |  7.247% | 606    |  6.803% | 
 | 23   | Staraptor          |  4.25549% | 698    |  5.993% | 477    |  5.355% | 
 | 24   | Salamence          |  3.81738% | 644    |  5.530% | 447    |  5.018% | 
 | 25   | Flamigo            |  3.22823% | 434    |  3.727% | 323    |  3.626% | 
 | 26   | Yanmega            |  2.29292% | 518    |  4.448% | 322    |  3.615% | 
 | 27   | Minior             |  2.10195% | 306    |  2.628% | 259    |  2.907% | 
 | 28   | Masquerain         |  2.04464% | 323    |  2.773% | 276    |  3.098% | 
 | 29   | Noivern            |  2.03956% | 407    |  3.495% | 294    |  3.300% | 
 | 30   | Honchkrow          |  1.38344% | 262    |  2.250% | 196    |  2.200% | 
 | 31   | Braviary-Hisui     |  1.33459% | 310    |  2.662% | 216    |  2.425% | 
 | 32   | Vivillon           |  1.13695% | 250    |  2.147% | 200    |  2.245% | 
 | 33   | Cramorant          |  1.09886% | 218    |  1.872% | 170    |  1.908% | 
 | 34   | Charizard          |  1.00808% | 293    |  2.516% | 210    |  2.357% | 
 | 35   | Enamorus-Therian   |  0.80872% | 139    |  1.194% | 96     |  1.078% | 
 | 36   | Articuno-Galar     |  0.79273% | 148    |  1.271% | 99     |  1.111% | 
 | 37   | Oricorio-Pom-Pom   |  0.71536% | 222    |  1.906% | 165    |  1.852% | 
 | 38   | Altaria            |  0.69306% | 279    |  2.396% | 194    |  2.178% | 
 | 39   | Scyther            |  0.68105% | 351    |  3.014% | 246    |  2.762% | 
 | 40   | Braviary           |  0.61267% | 116    |  0.996% | 65     |  0.730% | 
 | 41   | Drifblim           |  0.58027% | 249    |  2.138% | 183    |  2.054% | 
 | 42   | Dodrio             |  0.55002% | 108    |  0.927% | 73     |  0.819% | 
 | 43   | Oricorio-Sensu     |  0.52460% | 132    |  1.133% | 106    |  1.190% | 
