 Total battles: 115289
 Avg. weight/team: 0.054
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Flutter Mane       | 83.06202% | 16317  | 76.273% | 12144  | 77.159% | 
 | 2    | Dragapult          | 82.01729% | 16690  | 78.016% | 12163  | 77.280% | 
 | 3    | Ceruledge          | 66.09227% | 13390  | 62.591% | 10337  | 65.678% | 
 | 4    | Gholdengo          | 63.89591% | 12728  | 59.496% | 9365   | 59.503% | 
 | 5    | Spectrier          | 52.55481% | 9239   | 43.187% | 6595   | 41.903% | 
 | 6    | Pecharunt          | 36.47294% | 7481   | 34.969% | 5686   | 36.127% | 
 | 7    | Mimikyu            | 35.13607% | 7706   | 36.021% | 5844   | 37.131% | 
 | 8    | Zoroark-Hisui      | 31.99914% | 7357   | 34.390% | 2792   | 17.740% | 
 | 9    | Brambleghast       | 31.44230% | 5531   | 25.854% | 4452   | 28.287% | 
 | 10   | Sinistcha          | 15.72363% | 3751   | 17.534% | 2727   | 17.327% | 
 | 11   | Skeledirge         | 15.04717% | 3742   | 17.492% | 2775   | 17.632% | 
 | 12   | Froslass           | 13.44183% | 2873   | 13.430% | 2610   | 16.583% | 
 | 13   | Golurk             | 11.08344% | 2498   | 11.677% | 2006   | 12.746% | 
 | 14   | Basculegion        | 10.05541% | 2100   |  9.816% | 1645   | 10.452% | 
 | 15   | Polteageist        |  9.79167% | 2347   | 10.971% | 1780   | 11.310% | 
 | 16   | Gengar             |  9.67964% | 2953   | 13.804% | 2247   | 14.277% | 
 | 17   | Sableye            |  6.51898% | 1995   |  9.325% | 1746   | 11.094% | 
 | 18   | Palossand          |  5.91219% | 1057   |  4.941% | 970    |  6.163% | 
 | 19   | Drifblim           |  2.56420% | 960    |  4.487% | 730    |  4.638% | 
 | 20   | Spiritomb          |  2.51399% | 748    |  3.496% | 644    |  4.092% | 
 | 21   | Chandelure         |  2.24472% | 971    |  4.539% | 717    |  4.556% | 
 | 22   | Dusclops           |  2.16378% | 750    |  3.506% | 634    |  4.028% | 
 | 23   | Houndstone         |  1.59721% | 337    |  1.575% | 271    |  1.722% | 
 | 24   | Banette            |  1.51045% | 293    |  1.370% | 216    |  1.372% | 
 | 25   | Decidueye          |  1.49640% | 864    |  4.039% | 705    |  4.479% | 
 | 26   | Typhlosion-Hisui   |  1.17742% | 394    |  1.842% | 309    |  1.963% | 
 | 27   | Basculegion-F      |  1.06663% | 455    |  2.127% | 360    |  2.287% | 
 | 28   | Trevenant          |  0.78632% | 580    |  2.711% | 429    |  2.726% | 
 | 29   | Dusknoir           |  0.74869% | 668    |  3.123% | 460    |  2.923% | 
 | 30   | Mismagius          |  0.63696% | 743    |  3.473% | 501    |  3.183% | 
 | 31   | Hoopa              |  0.59532% | 170    |  0.795% | 133    |  0.845% | 
 | 32   | Oricorio-Sensu     |  0.55048% | 265    |  1.239% | 200    |  1.271% | 
 | 33   | Rotom              |  0.14622% | 93     |  0.435% | 83     |  0.527% | 
 | 34   | Haunter            |  0.07371% | 152    |  0.711% | 110    |  0.699% | 
 | 35   | Drifloon           |  0.01857% | 7      |  0.033% | 7      |  0.044% | 
 | 36   | Golett             |  0.01699% | 11     |  0.051% | 10     |  0.064% | 
 | 37   | Litwick            |  0.01192% | 7      |  0.033% | 7      |  0.044% | 
 | 38   | Lampent            |  0.00686% | 6      |  0.028% | 5      |  0.032% | 
 | 39   | Duskull            |  0.00581% | 3      |  0.014% | 3      |  0.019% | 
 | 40   | Misdreavus         |  0.00333% | 15     |  0.070% | 10     |  0.064% | 
 | 41   | Sinistea           |  0.00207% | 4      |  0.019% | 2      |  0.013% | 
 | 42   | Gastly             |  0.00000% | 2      |  0.009% | 2      |  0.013% | 
 | 43   | Dreepy             |  0.00000% | 1      |  0.005% | 1      |  0.006% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
