 Total battles: 115289
 Avg. weight/team: 0.005
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Meowscarada        | 94.34034% | 6248   | 70.615% | 4764   | 72.401% | 
 | 2    | Ogerpon-Hearthflame | 86.32774% | 4798   | 54.227% | 3607   | 54.818% | 
 | 3    | Sinistcha          | 56.97017% | 3962   | 44.778% | 2889   | 43.906% | 
 | 4    | Amoonguss          | 50.34709% | 2394   | 27.057% | 1928   | 29.301% | 
 | 5    | Brambleghast       | 48.95281% | 2545   | 28.764% | 1900   | 28.875% | 
 | 6    | Rillaboom          | 41.78587% | 4303   | 48.632% | 3249   | 49.377% | 
 | 7    | Torterra           | 31.37914% | 2339   | 26.435% | 1805   | 27.432% | 
 | 8    | Whimsicott         | 21.66502% | 1718   | 19.417% | 1355   | 20.593% | 
 | 9    | Breloom            | 21.19243% | 2143   | 24.220% | 1550   | 23.556% | 
 | 10   | Lilligant-Hisui    | 17.72757% | 1696   | 19.168% | 1161   | 17.644% | 
 | 11   | Shaymin            | 16.66035% | 249    |  2.814% | 211    |  3.207% | 
 | 12   | Toedscruel         | 15.29295% | 396    |  4.476% | 339    |  5.152% | 
 | 13   | Serperior          | 14.05000% | 2938   | 33.205% | 2048   | 31.125% | 
 | 14   | Hydrapple          | 13.66670% | 2014   | 22.762% | 1372   | 20.851% | 
 | 15   | Ogerpon-Cornerstone |  8.92823% | 1605   | 18.140% | 1181   | 17.948% | 
 | 16   | Decidueye-Hisui    |  8.20398% | 300    |  3.391% | 224    |  3.404% | 
 | 17   | Leavanny           |  7.49689% | 480    |  5.425% | 436    |  6.626% | 
 | 18   | Electrode-Hisui    |  6.58202% | 739    |  8.352% | 594    |  9.027% | 
 | 19   | Arboliva           |  6.43637% | 736    |  8.318% | 544    |  8.267% | 
 | 20   | Abomasnow          |  4.55780% | 518    |  5.854% | 432    |  6.565% | 
 | 21   | Ogerpon-Wellspring |  2.73805% | 762    |  8.612% | 563    |  8.556% | 
 | 22   | Chesnaught         |  2.62254% | 522    |  5.900% | 376    |  5.714% | 
 | 23   | Rotom-Mow          |  2.55159% | 557    |  6.295% | 445    |  6.763% | 
 | 24   | Venusaur           |  2.25535% | 881    |  9.957% | 648    |  9.848% | 
 | 25   | Iron Leaves        |  1.94813% | 668    |  7.550% | 440    |  6.687% | 
 | 26   | Zarude             |  1.77744% | 341    |  3.854% | 257    |  3.906% | 
 | 27   | Exeggutor-Alola    |  1.41504% | 457    |  5.165% | 257    |  3.906% | 
 | 28   | Scovillain         |  1.36157% | 395    |  4.464% | 313    |  4.757% | 
 | 29   | Decidueye          |  1.22007% | 377    |  4.261% | 285    |  4.331% | 
 | 30   | Tsareena           |  1.20602% | 281    |  3.176% | 212    |  3.222% | 
 | 31   | Flapple            |  1.19483% | 123    |  1.390% | 104    |  1.581% | 
 | 32   | Wo-Chien           |  0.87920% | 569    |  6.431% | 402    |  6.109% | 
