 Total battles: 115289
 Avg. weight/team: 0.001
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Clodsire           | 95.45782% | 8399   | 69.425% | 6698   | 72.195% | 
 | 2    | Landorus           | 85.87754% | 7581   | 62.663% | 5507   | 59.358% | 
 | 3    | Mamoswine          | 82.78712% | 6079   | 50.248% | 4468   | 48.159% | 
 | 4    | Hippowdon          | 71.94679% | 7379   | 60.994% | 6230   | 67.151% | 
 | 5    | Excadrill          | 68.49727% | 7570   | 62.572% | 5817   | 62.699% | 
 | 6    | Garchomp           | 54.69804% | 7099   | 58.679% | 5295   | 57.073% | 
 | 7    | Great Tusk         | 47.34803% | 4163   | 34.411% | 2963   | 31.937% | 
 | 8    | Gliscor            | 32.32630% | 5653   | 46.727% | 4543   | 48.967% | 
 | 9    | Iron Treads        | 13.79269% | 1435   | 11.861% | 1143   | 12.320% | 
 | 10   | Ting-Lu            | 12.00907% | 1678   | 13.870% | 1348   | 14.530% | 
 | 11   | Sandy Shocks       |  8.28129% | 3349   | 27.682% | 2432   | 26.213% | 
 | 12   | Quagsire           |  7.47142% | 670    |  5.538% | 536    |  5.777% | 
 | 13   | Ursaluna           |  5.86655% | 1553   | 12.837% | 1121   | 12.083% | 
 | 14   | Gastrodon          |  3.68088% | 2090   | 17.276% | 1579   | 17.019% | 
 | 15   | Toedscruel         |  3.30772% | 482    |  3.984% | 384    |  4.139% | 
 | 16   | Swampert           |  2.33280% | 845    |  6.985% | 692    |  7.459% | 
 | 17   | Landorus-Therian   |  0.89445% | 1232   | 10.184% | 961    | 10.358% | 
 | 18   | Torterra           |  0.87347% | 956    |  7.902% | 668    |  7.200% | 
 | 19   | Krookodile         |  0.85934% | 1128   |  9.324% | 839    |  9.043% | 
 | 20   | Dugtrio            |  0.66626% | 215    |  1.777% | 163    |  1.757% | 
 | 21   | Sandaconda         |  0.54609% | 267    |  2.207% | 209    |  2.253% | 
 | 22   | Golurk             |  0.10925% | 303    |  2.505% | 234    |  2.522% | 
 | 23   | Rhyperior          |  0.10672% | 408    |  3.372% | 324    |  3.492% | 
 | 24   | Camerupt           |  0.07353% | 285    |  2.356% | 218    |  2.350% | 
 | 25   | Palossand          |  0.04234% | 330    |  2.728% | 238    |  2.565% | 
 | 26   | Dugtrio-Alola      |  0.04065% | 95     |  0.785% | 65     |  0.701% | 
 | 27   | Whiscash           |  0.03397% | 43     |  0.355% | 35     |  0.377% | 
 | 28   | Mudsdale           |  0.03280% | 237    |  1.959% | 182    |  1.962% | 
 | 29   | Flygon             |  0.01784% | 553    |  4.571% | 407    |  4.387% | 
 | 30   | Piloswine          |  0.00738% | 22     |  0.182% | 18     |  0.194% | 
 | 31   | Sandslash          |  0.00518% | 32     |  0.265% | 29     |  0.313% | 
 | 32   | Donphan            |  0.00320% | 292    |  2.414% | 213    |  2.296% | 
 | 33   | Hippopotas         |  0.00197% | 15     |  0.124% | 14     |  0.151% | 
 | 34   | Trapinch           |  0.00147% | 4      |  0.033% | 2      |  0.022% | 
 | 35   | Rhydon             |  0.00091% | 74     |  0.612% | 47     |  0.507% | 
 | 36   | Golem              |  0.00017% | 43     |  0.355% | 31     |  0.334% | 
 | 37   | Diglett            |  0.00000% | 1      |  0.008% | 1      |  0.011% | 
 | 38   | Toedscool          |  0.00000% | 3      |  0.025% | 3      |  0.032% | 
 | 39   | Larvitar           |  0.00000% | 6      |  0.050% | 6      |  0.065% | 
 | 40   | Gabite             |  0.00000% | 1      |  0.008% | 1      |  0.011% | 
 | 41   | Sandile            |  0.00000% | 1      |  0.008% | 0      |  0.000% | 
 | 42   | Graveler           |  0.00000% | 1      |  0.008% | 1      |  0.011% | 
 | 43   | Geodude            |  0.00000% | 1      |  0.008% | 1      |  0.011% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
