 Total battles: 115289
 Avg. weight/team: 0.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Ninetales-Alola    | 99.66192% | 6741   | 91.752% | 6093   | 109.158% | 
 | 2    | Kyurem             | 94.69407% | 4331   | 58.949% | 3117   | 55.842% | 
 | 3    | Mamoswine          | 74.39465% | 4501   | 61.263% | 3530   | 63.241% | 
 | 4    | Cloyster           | 59.70984% | 4117   | 56.036% | 2874   | 51.488% | 
 | 5    | Avalugg            | 57.96349% | 2999   | 40.819% | 2315   | 41.474% | 
 | 6    | Cetitan            | 51.78020% | 2282   | 31.060% | 1648   | 29.524% | 
 | 7    | Weavile            | 44.14540% | 3929   | 53.478% | 2653   | 47.529% | 
 | 8    | Sandslash-Alola    | 29.38214% | 2424   | 32.993% | 1791   | 32.086% | 
 | 9    | Froslass           | 16.49456% | 2565   | 34.912% | 2197   | 39.360% | 
 | 10   | Piloswine          | 15.79676% | 313    |  4.260% | 259    |  4.640% | 
 | 11   | Dewgong            | 10.67988% | 655    |  8.915% | 545    |  9.764% | 
 | 12   | Eiscue             |  8.60460% | 337    |  4.587% | 246    |  4.407% | 
 | 13   | Frosmoth           |  8.46404% | 1761   | 23.969% | 1075   | 19.259% | 
 | 14   | Crabominable       |  7.57397% | 339    |  4.614% | 227    |  4.067% | 
 | 15   | Rotom-Frost        |  7.32060% | 934    | 12.713% | 705    | 12.630% | 
 | 16   | Cryogonal          |  2.93547% | 259    |  3.525% | 177    |  3.171% | 
 | 17   | Abomasnow          |  2.72438% | 1533   | 20.866% | 1165   | 20.871% | 
 | 18   | Lapras             |  2.07716% | 754    | 10.263% | 545    |  9.764% | 
 | 19   | Avalugg-Hisui      |  1.65343% | 398    |  5.417% | 309    |  5.536% | 
 | 20   | Articuno           |  1.21205% | 542    |  7.377% | 391    |  7.005% | 
 | 21   | Regice             |  1.03162% | 468    |  6.370% | 361    |  6.467% | 
 | 22   | Beartic            |  0.94650% | 349    |  4.750% | 269    |  4.819% | 
 | 23   | Glaceon            |  0.54621% | 910    | 12.386% | 545    |  9.764% | 
 | 24   | Glastrier          |  0.20488% | 492    |  6.697% | 372    |  6.664% | 
 | 25   | Glalie             |  0.00161% | 24     |  0.327% | 13     |  0.233% | 
 | 26   | Arctibax           |  0.00027% | 53     |  0.721% | 33     |  0.591% | 
 | 27   | Sandshrew-Alola    |  0.00005% | 1      |  0.014% | 1      |  0.018% | 
 | 28   | Sneasel            |  0.00005% | 1      |  0.014% | 1      |  0.018% | 
 | 29   | Delibird           |  0.00002% | 36     |  0.490% | 23     |  0.412% | 
 | 30   | Bergmite           |  0.00000% | 5      |  0.068% | 5      |  0.090% | 
 | 31   | Cetoddle           |  0.00000% | 1      |  0.014% | 1      |  0.018% | 
 | 32   | Snom               |  0.00000% | 1      |  0.014% | 1      |  0.018% | 
 | 33   | Vulpix-Alola       |  0.00000% | 4      |  0.054% | 4      |  0.072% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
