 Total battles: 115289
 Avg. weight/team: 0.057
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Zoroark-Hisui      | 79.17017% | 10361  | 79.170% | 3854   | 39.635% | 
 | 2    | Ursaluna           | 65.34729% | 8552   | 65.347% | 6846   | 70.406% | 
 | 3    | Terapagos          | 55.16925% | 7220   | 55.169% | 5809   | 59.741% | 
 | 4    | Ditto              | 44.11248% | 5773   | 44.112% | 4499   | 46.269% | 
 | 5    | Maushold           | 42.94338% | 5620   | 42.943% | 4359   | 44.829% | 
 | 6    | Blissey            | 39.84870% | 5215   | 39.849% | 4412   | 45.374% | 
 | 7    | Porygon2           | 32.38328% | 4238   | 32.383% | 3585   | 36.869% | 
 | 8    | Staraptor          | 28.21884% | 3693   | 28.219% | 2966   | 30.503% | 
 | 9    | Porygon-Z          | 20.99030% | 2747   | 20.990% | 2053   | 21.113% | 
 | 10   | Indeedee           | 20.99030% | 2747   | 20.990% | 2141   | 22.018% | 
 | 11   | Braviary           | 14.36540% | 1880   | 14.365% | 1569   | 16.136% | 
 | 12   | Ambipom            | 13.76939% | 1802   | 13.769% | 1553   | 15.971% | 
 | 13   | Cyclizar           | 12.63850% | 1654   | 12.638% | 1270   | 13.061% | 
 | 14   | Smeargle           | 11.27837% | 1476   | 11.278% | 1378   | 14.172% | 
 | 15   | Meloetta           | 10.56010% | 1382   | 10.560% | 1130   | 11.621% | 
 | 16   | Grafaiai           | 10.17040% | 1331   | 10.170% | 1077   | 11.076% | 
 | 17   | Snorlax            |  9.81890% | 1285   |  9.819% | 1027   | 10.562% | 
 | 18   | Cinccino           |  9.11592% | 1193   |  9.116% | 926    |  9.523% | 
 | 19   | Arboliva           |  9.05479% | 1185   |  9.055% | 886    |  9.112% | 
 | 20   | Chansey            |  7.75579% | 1015   |  7.756% | 850    |  8.742% | 
 | 21   | Dudunsparce        |  6.61725% | 866    |  6.617% | 732    |  7.528% | 
 | 22   | Farigiraf          |  5.87606% | 769    |  5.876% | 599    |  6.160% | 
 | 23   | Pyroar             |  4.85978% | 636    |  4.860% | 480    |  4.936% | 
 | 24   | Slaking            |  3.88936% | 509    |  3.889% | 390    |  4.011% | 
 | 25   | Regigigas          |  3.66776% | 480    |  3.668% | 408    |  4.196% | 
 | 26   | Zangoose           |  3.56843% | 467    |  3.568% | 376    |  3.867% | 
 | 27   | Wyrdeer            |  2.58272% | 338    |  2.583% | 283    |  2.910% | 
 | 28   | Komala             |  2.44517% | 320    |  2.445% | 272    |  2.797% | 
 | 29   | Wigglytuff         |  2.42989% | 318    |  2.430% | 240    |  2.468% | 
 | 30   | Persian            |  2.22358% | 291    |  2.224% | 212    |  2.180% | 
 | 31   | Indeedee-F         |  2.20830% | 289    |  2.208% | 239    |  2.458% | 
 | 32   | Toucannon          |  2.17773% | 285    |  2.178% | 237    |  2.437% | 
 | 33   | Tauros             |  1.94850% | 255    |  1.948% | 187    |  1.923% | 
 | 34   | Squawkabilly       |  1.83388% | 240    |  1.834% | 196    |  2.016% | 
 | 35   | Dodrio             |  1.81860% | 238    |  1.819% | 197    |  2.026% | 
 | 36   | Sawsbuck           |  1.75747% | 230    |  1.757% | 175    |  1.800% | 
 | 37   | Greedent           |  1.51295% | 198    |  1.513% | 153    |  1.573% | 
 | 38   | Oranguru           |  1.36013% | 178    |  1.360% | 158    |  1.625% | 
 | 39   | Dunsparce          |  0.88638% | 116    |  0.886% | 96     |  0.987% | 
 | 40   | Ursaring           |  0.68006% | 89     |  0.680% | 63     |  0.648% | 
 | 41   | Gumshoos           |  0.64186% | 84     |  0.642% | 67     |  0.689% | 
 | 42   | Noctowl            |  0.52724% | 69     |  0.527% | 56     |  0.576% | 
 | 43   | Aipom              |  0.50432% | 66     |  0.504% | 57     |  0.586% | 
 | 44   | Vigoroth           |  0.33621% | 44     |  0.336% | 29     |  0.298% | 
 | 45   | Furret             |  0.33621% | 44     |  0.336% | 35     |  0.360% | 
