 Total battles: 115289
 Avg. weight/team: 0.029
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Hatterene          | 64.41745% | 4296   | 64.417% | 3509   | 68.571% | 
 | 2    | Hoopa-Unbound      | 44.11456% | 2942   | 44.115% | 2163   | 42.268% | 
 | 3    | Gallade            | 40.20093% | 2681   | 40.201% | 1967   | 38.438% | 
 | 4    | Indeedee           | 39.13630% | 2610   | 39.136% | 2163   | 42.268% | 
 | 5    | Iron Boulder       | 38.16164% | 2545   | 38.162% | 1851   | 36.171% | 
 | 6    | Latios             | 34.27800% | 2286   | 34.278% | 1649   | 32.224% | 
 | 7    | Slowking-Galar     | 31.32404% | 2089   | 31.324% | 1507   | 29.449% | 
 | 8    | Deoxys-Speed       | 30.37937% | 2026   | 30.379% | 1642   | 32.087% | 
 | 9    | Metagross          | 26.43575% | 1763   | 26.436% | 1384   | 27.045% | 
 | 10   | Armarouge          | 24.95127% | 1664   | 24.951% | 1221   | 23.860% | 
 | 11   | Iron Crown         | 21.23257% | 1416   | 21.233% | 1066   | 20.831% | 
 | 12   | Slowbro            | 17.84375% | 1190   | 17.844% | 951    | 18.584% | 
 | 13   | Jirachi            | 13.87015% | 925    | 13.870% | 759    | 14.832% | 
 | 14   | Malamar            | 13.45029% | 897    | 13.450% | 705    | 13.777% | 
 | 15   | Bronzong           | 13.15040% | 877    | 13.150% | 758    | 14.812% | 
 | 16   | Espeon             | 10.96116% | 731    | 10.961% | 605    | 11.823% | 
 | 17   | Mew                | 10.31639% | 688    | 10.316% | 568    | 11.100% | 
 | 18   | Gardevoir          |  9.79157% | 653    |  9.792% | 463    |  9.048% | 
 | 19   | Delphox            |  8.63698% | 576    |  8.637% | 395    |  7.719% | 
 | 20   | Latias             |  8.42705% | 562    |  8.427% | 378    |  7.387% | 
 | 21   | Necrozma           |  8.03719% | 536    |  8.037% | 400    |  7.817% | 
 | 22   | Indeedee-F         |  6.58270% | 439    |  6.583% | 393    |  7.680% | 
 | 23   | Slowking           |  5.89294% | 393    |  5.893% | 305    |  5.960% | 
 | 24   | Braviary-Hisui     |  5.54806% | 370    |  5.548% | 275    |  5.374% | 
 | 25   | Reuniclus          |  5.29315% | 353    |  5.293% | 255    |  4.983% | 
 | 26   | Cresselia          |  5.08322% | 339    |  5.083% | 239    |  4.670% | 
 | 27   | Deoxys-Defense     |  4.81332% | 321    |  4.813% | 271    |  5.296% | 
 | 28   | Wyrdeer            |  4.73834% | 316    |  4.738% | 265    |  5.178% | 
 | 29   | Meloetta           |  4.30349% | 287    |  4.303% | 215    |  4.201% | 
 | 30   | Veluza             |  4.09357% | 273    |  4.094% | 197    |  3.850% | 
 | 31   | Munkidori          |  3.98860% | 266    |  3.989% | 207    |  4.045% | 
 | 32   | Iron Leaves        |  3.73369% | 249    |  3.734% | 188    |  3.674% | 
 | 33   | Scream Tail        |  3.68871% | 246    |  3.689% | 213    |  4.162% | 
 | 34   | Meowstic           |  3.47878% | 232    |  3.479% | 189    |  3.693% | 
 | 35   | Raichu-Alola       |  3.31384% | 221    |  3.314% | 144    |  2.814% | 
 | 36   | Slowbro-Galar      |  2.99895% | 200    |  2.999% | 155    |  3.029% | 
 | 37   | Articuno-Galar     |  2.65407% | 177    |  2.654% | 126    |  2.462% | 
 | 38   | Farigiraf          |  2.59409% | 173    |  2.594% | 140    |  2.736% | 
 | 39   | Azelf              |  2.32419% | 155    |  2.324% | 121    |  2.365% | 
 | 40   | Medicham           |  2.26421% | 151    |  2.264% | 113    |  2.208% | 
 | 41   | Bruxish            |  1.75439% | 117    |  1.754% | 102    |  1.993% | 
 | 42   | Exeggutor          |  1.58944% | 106    |  1.589% | 74     |  1.446% | 
 | 43   | Rabsca             |  1.51447% | 101    |  1.514% | 72     |  1.407% | 
 | 44   | Uxie               |  1.12461% | 75     |  1.125% | 69     |  1.348% | 
 | 45   | Hoopa              |  1.04963% | 70     |  1.050% | 48     |  0.938% | 
 | 46   | Chimecho           |  0.82471% | 55     |  0.825% | 34     |  0.664% | 
 | 47   | Hypno              |  0.76473% | 51     |  0.765% | 26     |  0.508% | 
 | 48   | Gothitelle         |  0.71975% | 48     |  0.720% | 38     |  0.743% | 
 | 49   | Oricorio-Pa'u      |  0.67476% | 45     |  0.675% | 31     |  0.606% | 
 | 50   | Oranguru           |  0.58480% | 39     |  0.585% | 28     |  0.547% | 
 | 51   | Grumpig            |  0.28490% | 19     |  0.285% | 15     |  0.293% | 
 | 52   | Cosmoem            |  0.22492% | 15     |  0.225% | 12     |  0.234% | 
 | 53   | Girafarig          |  0.20993% | 14     |  0.210% | 13     |  0.254% | 
 | 54   | Mesprit            |  0.16494% | 11     |  0.165% | 7      |  0.137% | 
 | 55   | Ralts              |  0.13495% | 9      |  0.135% | 5      |  0.098% | 
 | 56   | Hatenna            |  0.13495% | 9      |  0.135% | 5      |  0.098% | 
 | 57   | Flittle            |  0.13495% | 9      |  0.135% | 5      |  0.098% | 
 | 58   | Drowzee            |  0.07497% | 5      |  0.075% | 5      |  0.098% | 
 | 59   | Spoink             |  0.05998% | 4      |  0.060% | 0      |  0.000% | 
 | 60   | Exeggcute          |  0.05998% | 4      |  0.060% | 0      |  0.000% | 
 | 61   | Gothorita          |  0.05998% | 4      |  0.060% | 0      |  0.000% | 
 | 62   | Solosis            |  0.01499% | 1      |  0.015% | 0      |  0.000% | 
 | 63   | Slowpoke           |  0.01499% | 1      |  0.015% | 0      |  0.000% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
