 Total battles: 115289
 Avg. weight/team: 0.058
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Gholdengo          | 81.74496% | 10859  | 81.745% | 8133   | 79.454% | 
 | 2    | Heatran            | 79.17796% | 10518  | 79.178% | 8198   | 80.089% | 
 | 3    | Archaludon         | 68.68413% | 9124   | 68.684% | 7144   | 69.792% | 
 | 4    | Iron Treads        | 57.01596% | 7574   | 57.016% | 5719   | 55.871% | 
 | 5    | Corviknight        | 49.39777% | 6562   | 49.398% | 4983   | 48.680% | 
 | 6    | Skarmory           | 42.40440% | 5633   | 42.404% | 4910   | 47.967% | 
 | 7    | Scizor             | 39.79976% | 5287   | 39.800% | 3912   | 38.217% | 
 | 8    | Goodra-Hisui       | 30.84914% | 4098   | 30.849% | 3235   | 31.604% | 
 | 9    | Metagross          | 21.30382% | 2830   | 21.304% | 2068   | 20.203% | 
 | 10   | Excadrill          | 17.63776% | 2343   | 17.638% | 1766   | 17.253% | 
 | 11   | Iron Crown         | 17.09575% | 2271   | 17.096% | 1681   | 16.422% | 
 | 12   | Empoleon           | 16.08702% | 2137   | 16.087% | 1646   | 16.080% | 
 | 13   | Tinkaton           |  9.97441% | 1325   |  9.974% | 1009   |  9.857% | 
 | 14   | Bisharp            |  8.43120% | 1120   |  8.431% | 774    |  7.561% | 
 | 15   | Lucario            |  8.32581% | 1106   |  8.326% | 822    |  8.030% | 
 | 16   | Magnezone          |  7.76874% | 1032   |  7.769% | 728    |  7.112% | 
 | 17   | Klefki             |  7.47516% | 993    |  7.475% | 892    |  8.714% | 
 | 18   | Jirachi            |  6.56429% | 872    |  6.564% | 640    |  6.252% | 
 | 19   | Orthworm           |  6.49654% | 863    |  6.497% | 670    |  6.545% | 
 | 20   | Forretress         |  6.06745% | 806    |  6.067% | 740    |  7.229% | 
 | 21   | Revavroom          |  5.54803% | 737    |  5.548% | 542    |  5.295% | 
 | 22   | Bronzong           |  2.45408% | 326    |  2.454% | 254    |  2.481% | 
 | 23   | Registeel          |  2.16049% | 287    |  2.160% | 232    |  2.266% | 
 | 24   | Cobalion           |  1.94219% | 258    |  1.942% | 189    |  1.846% | 
 | 25   | Duraludon          |  1.31737% | 175    |  1.317% | 141    |  1.377% | 
 | 26   | Bastiodon          |  1.15176% | 153    |  1.152% | 106    |  1.036% | 
 | 27   | Copperajah         |  0.76031% | 101    |  0.760% | 81     |  0.791% | 
 | 28   | Dugtrio-Alola      |  0.52695% | 70     |  0.527% | 55     |  0.537% | 
 | 29   | Sandslash-Alola    |  0.45167% | 60     |  0.452% | 44     |  0.430% | 
 | 30   | Probopass          |  0.37639% | 50     |  0.376% | 43     |  0.420% | 
 | 31   | Magneton           |  0.30111% | 40     |  0.301% | 32     |  0.313% | 
 | 32   | Perrserker         |  0.21831% | 29     |  0.218% | 23     |  0.225% | 
 | 33   | Sandshrew-Alola    |  0.06775% | 9      |  0.068% | 2      |  0.020% | 
 | 34   | Tinkatink          |  0.02258% | 3      |  0.023% | 0      |  0.000% | 
 | 35   | Shieldon           |  0.01506% | 2      |  0.015% | 1      |  0.010% | 
 | 36   | Sliggoo-Hisui      |  0.01506% | 2      |  0.015% | 2      |  0.020% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
