 Total battles: 115289
 Avg. weight/team: 0.017
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Swampert           | 62.85378% | 9074   | 44.406% | 7625   | 47.671% | 
 | 2    | Urshifu-Rapid-Strike | 57.41991% | 10800  | 52.853% | 8136   | 50.865% | 
 | 3    | Pelipper           | 51.40984% | 12279  | 60.091% | 11080  | 69.271% | 
 | 4    | Toxapex            | 46.04708% | 7673   | 37.550% | 6240   | 39.012% | 
 | 5    | Greninja           | 42.92974% | 6848   | 33.513% | 5082   | 31.772% | 
 | 6    | Samurott-Hisui     | 42.06665% | 7146   | 34.971% | 5849   | 36.567% | 
 | 7    | Ogerpon-Wellspring | 39.19111% | 7830   | 38.318% | 5562   | 34.773% | 
 | 8    | Primarina          | 29.29304% | 5587   | 27.342% | 3994   | 24.970% | 
 | 9    | Kingdra            | 25.26275% | 3967   | 19.414% | 3026   | 18.918% | 
 | 10   | Alomomola          | 20.39292% | 2820   | 13.801% | 2197   | 13.735% | 
 | 11   | Barraskewda        | 20.29938% | 4595   | 22.487% | 3602   | 22.519% | 
 | 12   | Walking Wake       | 15.18905% | 2975   | 14.559% | 2149   | 13.435% | 
 | 13   | Empoleon           | 12.57422% | 1991   |  9.744% | 1569   |  9.809% | 
 | 14   | Tentacruel         | 12.39960% | 3119   | 15.264% | 2514   | 15.717% | 
 | 15   | Gastrodon          | 11.83515% | 2426   | 11.872% | 1908   | 11.929% | 
 | 16   | Quaquaval          | 11.28179% | 2999   | 14.677% | 2193   | 13.710% | 
 | 17   | Basculegion-F      | 10.75758% | 1842   |  9.014% | 1376   |  8.603% | 
 | 18   | Dondozo            |  8.39760% | 2114   | 10.346% | 1518   |  9.490% | 
 | 19   | Araquanid          |  7.59116% | 1974   |  9.660% | 1769   | 11.060% | 
 | 20   | Azumarill          |  7.15110% | 2145   | 10.497% | 1561   |  9.759% | 
 | 21   | Volcanion          |  7.05426% | 1722   |  8.427% | 1290   |  8.065% | 
 | 22   | Politoed           |  5.89106% | 1465   |  7.169% | 1218   |  7.615% | 
 | 23   | Slowking           |  5.78126% | 859    |  4.204% | 658    |  4.114% | 
 | 24   | Rotom-Wash         |  5.51034% | 2255   | 11.036% | 1798   | 11.241% | 
