Total battles: 160578
Avg. weight/team: 0.041
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       |
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| 1    | Meowscarada        | 73.54382% | 9760   | 73.544% | 7438   | 75.054% |
| 2    | Ogerpon-Hearthflame | 56.91357% | 7553   | 56.914% | 5659   | 57.103% |
| 3    | Rillaboom          | 49.26532% | 6538   | 49.265% | 4994   | 50.393% |
| 4    | Sinistcha          | 41.99382% | 5573   | 41.994% | 4005   | 40.413% |
| 5    | Amoonguss          | 33.18514% | 4404   | 33.185% | 3500   | 35.317% |
| 6    | Brambleghast       | 28.12900% | 3733   | 28.129% | 2798   | 28.234% |
| 7    | Whimsicott         | 28.05365% | 3723   | 28.054% | 2920   | 29.465% |
| 8    | Serperior          | 27.85773% | 3697   | 27.858% | 2576   | 25.994% |
| 9    | Hydrapple          | 27.60907% | 3664   | 27.609% | 2543   | 25.661% |
| 10   | Torterra           | 25.11491% | 3333   | 25.115% | 2539   | 25.620% |
| 11   | Breloom            | 22.68103% | 3010   | 22.681% | 2186   | 22.058% |
| 12   | Ogerpon-Cornerstone | 17.69271% | 2348   | 17.693% | 1763   | 17.790% |
| 13   | Lilligant-Hisui    | 17.46666% | 2318   | 17.467% | 1641   | 16.559% |
| 14   | Venusaur           | 11.77756% | 1563   | 11.778% | 1201   | 12.119% |
| 15   | Electrode-Hisui    |  8.03255% | 1066   |  8.033% | 835    |  8.426% |
| 16   | Ogerpon-Wellspring |  7.98734% | 1060   |  7.987% | 795    |  8.022% |
| 17   | Leavanny           |  6.95501% | 923    |  6.955% | 844    |  8.517% |
| 18   | Arboliva           |  6.89473% | 915    |  6.895% | 609    |  6.145% |
| 19   | Scovillain         |  6.59332% | 875    |  6.593% | 653    |  6.589% |
| 20   | Chesnaught         |  6.56318% | 871    |  6.563% | 654    |  6.599% |
| 21   | Ludicolo           |  6.37480% | 846    |  6.375% | 629    |  6.347% |
| 22   | Vileplume          |  6.05079% | 803    |  6.051% | 592    |  5.974% |
| 23   | Sceptile           |  5.95283% | 790    |  5.953% | 599    |  6.044% |
| 24   | Iron Leaves        |  5.77198% | 766    |  5.772% | 525    |  5.298% |
| 25   | Rotom-Mow          |  5.59867% | 743    |  5.599% | 574    |  5.792% |
| 26   | Wo-Chien           |  4.90543% | 651    |  4.905% | 503    |  5.076% |
| 27   | Appletun           |  4.55881% | 605    |  4.559% | 420    |  4.238% |
| 28   | Zarude             |  4.40057% | 584    |  4.401% | 407    |  4.107% |
| 29   | Abomasnow          |  4.27247% | 567    |  4.272% | 449    |  4.531% |
| 30   | Bellossom          |  4.24233% | 563    |  4.242% | 421    |  4.248% |
| 31   | Exeggutor          |  3.70733% | 492    |  3.707% | 295    |  2.977% |
| 32   | Brute Bonnet       |  3.51895% | 467    |  3.519% | 355    |  3.582% |
| 33   | Decidueye          |  3.51895% | 467    |  3.519% | 360    |  3.633% |
| 34   | Toedscruel         |  3.23261% | 429    |  3.233% | 361    |  3.643% |
| 35   | Tsareena           |  3.11205% | 413    |  3.112% | 301    |  3.037% |
| 36   | Exeggutor-Alola    |  2.76543% | 367    |  2.765% | 191    |  1.927% |
| 37   | Decidueye-Hisui    |  2.76543% | 367    |  2.765% | 258    |  2.603% |
| 38   | Leafeon            |  2.02698% | 269    |  2.027% | 187    |  1.887% |
| 39   | Trevenant          |  1.98176% | 263    |  1.982% | 208    |  2.099% |
| 40   | Lurantis           |  1.83860% | 244    |  1.839% | 183    |  1.847% |
| 41   | Jumpluff           |  1.62761% | 216    |  1.628% | 185    |  1.867% |
| 42   | Shaymin            |  1.52965% | 203    |  1.530% | 162    |  1.635% |
| 43   | Shiftry            |  1.35634% | 180    |  1.356% | 140    |  1.413% |
| 44   | Virizion           |  1.07000% | 142    |  1.070% | 100    |  1.009% |
| 45   | Tropius            |  1.03986% | 138    |  1.040% | 97     |  0.979% |
| 46   | Lilligant          |  1.03986% | 138    |  1.040% | 98     |  0.989% |
| 47   | Victreebel         |  0.83641% | 111    |  0.836% | 75     |  0.757% |
| 48   | Gogoat             |  0.80627% | 107    |  0.806% | 77     |  0.777% |
| 49   | Flapple            |  0.80627% | 107    |  0.806% | 72     |  0.727% |
| 50   | Sawsbuck           |  0.75352% | 100    |  0.754% | 79     |  0.797% |
| 51   | Sunflora           |  0.60282% | 80     |  0.603% | 65     |  0.656% |
| 52   | Meganium           |  0.55007% | 73     |  0.550% | 56     |  0.565% |
| 53   | Dipplin            |  0.54254% | 72     |  0.543% | 54     |  0.545% |
| 54   | Ogerpon            |  0.53500% | 71     |  0.535% | 51     |  0.515% |
| 55   | Cacturne           |  0.50486% | 67     |  0.505% | 53     |  0.535% |
| 56   | Cottonee           |  0.28634% | 38     |  0.286% | 36     |  0.363% |
| 57   | Swadloon           |  0.22606% | 30     |  0.226% | 28     |  0.283% |
| 58   | Ivysaur            |  0.08289% | 11     |  0.083% | 7      |  0.071% |
| 59   | Shroomish          |  0.05275% | 7      |  0.053% | 7      |  0.071% |
| 60   | Gloom              |  0.04521% | 6      |  0.045% | 6      |  0.061% |
| 61   | Weepinbell         |  0.04521% | 6      |  0.045% | 6      |  0.061% |
| 62   | Dartrix            |  0.04521% | 6      |  0.045% | 4      |  0.040% |
| 63   | Grookey            |  0.04521% | 6      |  0.045% | 2      |  0.020% |
| 64   | Thwackey           |  0.03768% | 5      |  0.038% | 4      |  0.040% |
| 65   | Bayleef            |  0.03768% | 5      |  0.038% | 4      |  0.040% |
| 66   | Servine            |  0.03768% | 5      |  0.038% | 5      |  0.050% |
| 67   | Applin             |  0.03768% | 5      |  0.038% | 5      |  0.050% |
| 68   | Snivy              |  0.03014% | 4      |  0.030% | 1      |  0.010% |
| 69   | Fomantis           |  0.03014% | 4      |  0.030% | 2      |  0.020% |
| 70   | Foongus            |  0.01507% | 2      |  0.015% | 2      |  0.020% |
| 71   | Cacnea             |  0.01507% | 2      |  0.015% | 2      |  0.020% |
