Total battles: 160578
Avg. weight/team: 0.002
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       |
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| 1    | Clodsire           | 93.04337% | 12074  | 70.538% | 9342   | 71.275% |
| 2    | Mamoswine          | 88.79169% | 10180  | 59.473% | 7207   | 54.986% |
| 3    | Landorus           | 87.94989% | 12516  | 73.120% | 9270   | 70.726% |
| 4    | Hippowdon          | 78.01128% | 11411  | 66.665% | 9712   | 74.098% |
| 5    | Excadrill          | 62.65488% | 11732  | 68.540% | 9172   | 69.978% |
| 6    | Great Tusk         | 49.64180% | 7411   | 43.296% | 5439   | 41.497% |
| 7    | Garchomp           | 38.24612% | 8954   | 52.311% | 6630   | 50.584% |
| 8    | Gliscor            | 16.32022% | 6456   | 37.717% | 5170   | 39.445% |
| 9    | Ting-Lu            | 14.89081% | 2108   | 12.315% | 1628   | 12.421% |
| 10   | Gastrodon          | 14.47532% | 2985   | 17.439% | 2321   | 17.708% |
| 11   | Ursaluna           | 12.96629% | 1846   | 10.785% | 1394   | 10.636% |
| 12   | Toedscruel         | 12.39173% | 644    |  3.762% | 520    |  3.967% |
| 13   | Landorus-Therian   | 10.52437% | 1519   |  8.874% | 1217   |  9.285% |
| 14   | Iron Treads        |  7.38210% | 1661   |  9.704% | 1317   | 10.048% |
| 15   | Dugtrio            |  4.17433% | 370    |  2.162% | 280    |  2.136% |
| 16   | Quagsire           |  4.06420% | 797    |  4.656% | 652    |  4.974% |
| 17   | Sandy Shocks       |  2.20685% | 2952   | 17.246% | 2151   | 16.411% |
| 18   | Torterra           |  0.46483% | 928    |  5.422% | 628    |  4.791% |
| 19   | Krookodile         |  0.44323% | 1319   |  7.706% | 947    |  7.225% |
| 20   | Rhyperior          |  0.28931% | 388    |  2.267% | 311    |  2.373% |
| 21   | Donphan            |  0.24681% | 592    |  3.459% | 520    |  3.967% |
| 22   | Sandaconda         |  0.19670% | 370    |  2.162% | 310    |  2.365% |
| 23   | Mudsdale           |  0.18098% | 194    |  1.133% | 157    |  1.198% |
| 24   | Swampert           |  0.16559% | 810    |  4.732% | 597    |  4.555% |
| 25   | Palossand          |  0.07938% | 383    |  2.238% | 239    |  1.823% |
| 26   | Piloswine          |  0.03675% | 52     |  0.304% | 31     |  0.237% |
| 27   | Golurk             |  0.03480% | 396    |  2.313% | 302    |  2.304% |
| 28   | Golem              |  0.03236% | 184    |  1.075% | 133    |  1.015% |
| 29   | Dugtrio-Alola      |  0.02096% | 83     |  0.485% | 57     |  0.435% |
| 30   | Trapinch           |  0.02088% | 37     |  0.216% | 24     |  0.183% |
| 31   | Flygon             |  0.01972% | 341    |  1.992% | 265    |  2.022% |
| 32   | Camerupt           |  0.01960% | 448    |  2.617% | 321    |  2.449% |
| 33   | Gligar             |  0.00596% | 57     |  0.333% | 51     |  0.389% |
| 34   | Numel              |  0.00416% | 16     |  0.093% | 11     |  0.084% |
| 35   | Hippopotas         |  0.00143% | 45     |  0.263% | 39     |  0.298% |
| 36   | Sandslash          |  0.00117% | 180    |  1.052% | 145    |  1.106% |
| 37   | Rhydon             |  0.00008% | 120    |  0.701% | 78     |  0.595% |
| 38   | Whiscash           |  0.00004% | 48     |  0.280% | 41     |  0.313% |
| 39   | Diglett            |  0.00000% | 1      |  0.006% | 1      |  0.008% |
| 40   | Wooper             |  0.00000% | 2      |  0.012% | 2      |  0.015% |
| 41   | Larvitar           |  0.00000% | 3      |  0.018% | 3      |  0.023% |
| 42   | Marshtomp          |  0.00000% | 2      |  0.012% | 1      |  0.008% |
| 43   | Diglett-Alola      |  0.00000% | 1      |  0.006% | 1      |  0.008% |
| 44   | Gabite             |  0.00000% | 2      |  0.012% | 2      |  0.015% |
| 45   | Krokorok           |  0.00000% | 2      |  0.012% | 1      |  0.008% |
| 46   | Phanpy             |  0.00000% | 1      |  0.006% | 1      |  0.008% |
| 47   | Vibrava            |  0.00000% | 1      |  0.006% | 1      |  0.008% |
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
