Total battles: 160578
Avg. weight/team: 0.029
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       |
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| 1    | Zoroark-Hisui      | 85.98808% | 15797  | 82.182% | 5989   | 41.475% |
| 2    | Ursaluna           | 79.63544% | 14149  | 73.608% | 11516  | 79.750% |
| 3    | Terapagos          | 74.96129% | 11611  | 60.405% | 9336   | 64.653% |
| 4    | Ditto              | 54.78452% | 8904   | 46.322% | 6884   | 47.673% |
| 5    | Blissey            | 45.84659% | 7232   | 37.624% | 6151   | 42.596% |
| 6    | Porygon2           | 39.66898% | 6330   | 32.931% | 5477   | 37.929% |
| 7    | Maushold           | 31.34312% | 7595   | 39.512% | 5943   | 41.156% |
| 8    | Indeedee           | 29.03773% | 4142   | 21.548% | 3223   | 22.320% |
| 9    | Staraptor          | 20.79920% | 4252   | 22.120% | 3412   | 23.629% |
| 10   | Braviary           | 16.99859% | 3337   | 17.360% | 2664   | 18.449% |
| 11   | Smeargle           | 15.73914% | 3069   | 15.966% | 2897   | 20.062% |
| 12   | Porygon-Z          | 15.19132% | 3990   | 20.757% | 3073   | 21.281% |
| 13   | Grafaiai           |  8.47340% | 2325   | 12.096% | 1942   | 13.449% |
| 14   | Cyclizar           |  8.27962% | 2262   | 11.768% | 1859   | 12.874% |
| 15   | Ambipom            |  8.06196% | 2339   | 12.168% | 1955   | 13.539% |
| 16   | Meloetta           |  7.47952% | 1846   |  9.604% | 1412   |  9.778% |
| 17   | Farigiraf          |  7.15416% | 1329   |  6.914% | 1083   |  7.500% |
| 18   | Snorlax            |  6.88294% | 1952   | 10.155% | 1557   | 10.782% |
| 19   | Cinccino           |  6.72249% | 2008   | 10.446% | 1594   | 11.039% |
| 20   | Dudunsparce        |  5.91745% | 1362   |  7.086% | 1133   |  7.846% |
| 21   | Chansey            |  5.90430% | 1175   |  6.113% | 967    |  6.697% |
| 22   | Arboliva           |  5.11194% | 1393   |  7.247% | 1101   |  7.625% |
| 23   | Slaking            |  2.77423% | 711    |  3.699% | 565    |  3.913% |
| 24   | Zangoose           |  2.02504% | 719    |  3.741% | 560    |  3.878% |
| 25   | Regigigas          |  1.67476% | 604    |  3.142% | 507    |  3.511% |
| 26   | Komala             |  1.54721% | 273    |  1.420% | 241    |  1.669% |
| 27   | Tauros             |  1.46940% | 420    |  2.185% | 331    |  2.292% |
| 28   | Wyrdeer            |  0.96279% | 241    |  1.254% | 198    |  1.371% |
