Total battles: 160578
Avg. weight/team: 0.006
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       |
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| 1    | Ogerpon-Cornerstone | 95.28065% | 7691   | 76.391% | 5825   | 75.069% |
| 2    | Glimmora           | 91.64616% | 8628   | 85.697% | 7300   | 94.078% |
| 3    | Tyranitar          | 86.65750% | 7906   | 78.526% | 6346   | 81.784% |
| 4    | Iron Boulder       | 82.94805% | 6298   | 62.555% | 4371   | 56.331% |
| 5    | Garganacl          | 78.55307% | 7536   | 74.851% | 5975   | 77.002% |
| 6    | Arcanine-Hisui     | 69.42887% | 5508   | 54.708% | 3984   | 51.344% |
| 7    | Minior             | 21.28480% | 2858   | 28.387% | 2101   | 27.076% |
| 8    | Kleavor            | 18.02457% | 3186   | 31.645% | 2656   | 34.229% |
| 9    | Lycanroc-Dusk      | 12.40496% | 1822   | 18.097% | 1358   | 17.501% |
| 10   | Diancie            |  8.79456% | 1735   | 17.233% | 1288   | 16.599% |
| 11   | Rhyperior          |  6.77314% | 1089   | 10.816% | 826    | 10.645% |
| 12   | Terrakion          |  6.08611% | 669    |  6.645% | 474    |  6.109% |
| 13   | Coalossal          |  5.91928% | 869    |  8.631% | 683    |  8.802% |
| 14   | Drednaw            |  4.45166% | 773    |  7.678% | 562    |  7.243% |
| 15   | Avalugg-Hisui      |  4.02031% | 699    |  6.943% | 536    |  6.908% |
| 16   | Lycanroc           |  3.03606% | 549    |  5.453% | 393    |  5.065% |
| 17   | Iron Thorns        |  0.98418% | 303    |  3.010% | 206    |  2.655% |
| 18   | Magcargo           |  0.68202% | 253    |  2.513% | 181    |  2.333% |
| 19   | Sudowoodo          |  0.57633% | 176    |  1.748% | 130    |  1.675% |
| 20   | Carbink            |  0.56966% | 293    |  2.910% | 234    |  3.016% |
| 21   | Regirock           |  0.35019% | 169    |  1.679% | 118    |  1.521% |
| 22   | Probopass          |  0.32090% | 292    |  2.900% | 210    |  2.706% |
| 23   | Bastiodon          |  0.28248% | 219    |  2.175% | 178    |  2.294% |
| 24   | Golem              |  0.24714% | 132    |  1.311% | 95     |  1.224% |
| 25   | Rhydon             |  0.21584% | 187    |  1.857% | 138    |  1.778% |
| 26   | Golem-Alola        |  0.16832% | 173    |  1.718% | 124    |  1.598% |
| 27   | Rampardos          |  0.12645% | 177    |  1.758% | 130    |  1.675% |
| 28   | Klawf              |  0.07223% | 85     |  0.844% | 65     |  0.838% |
| 29   | Graveler           |  0.03542% | 2      |  0.020% | 2      |  0.026% |
| 30   | Glimmet            |  0.02118% | 9      |  0.089% | 9      |  0.116% |
| 31   | Lycanroc-Midnight  |  0.01749% | 52     |  0.516% | 35     |  0.451% |
| 32   | Carkol             |  0.00672% | 1      |  0.010% | 1      |  0.013% |
| 33   | Naclstack          |  0.00362% | 23     |  0.228% | 20     |  0.258% |
| 34   | Stonjourner        |  0.00001% | 2      |  0.020% | 1      |  0.013% |
| 35   | Nosepass           |  0.00000% | 3      |  0.030% | 2      |  0.026% |
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
