Total battles: 160578
Avg. weight/team: 0.002
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       |
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| 1    | Heatran            | 98.68028% | 13382  | 76.582% | 10455  | 77.928% |
| 2    | Gholdengo          | 97.27166% | 14426  | 82.557% | 10505  | 78.301% |
| 3    | Skarmory           | 89.64967% | 7410   | 42.406% | 6500   | 48.449% |
| 4    | Iron Treads        | 85.80833% | 8972   | 51.345% | 6765   | 50.424% |
| 5    | Archaludon         | 85.32038% | 12987  | 74.322% | 10201  | 76.035% |
| 6    | Goodra-Hisui       | 51.79906% | 5402   | 30.915% | 4207   | 31.358% |
| 7    | Scizor             | 27.54329% | 7962   | 45.565% | 5857   | 43.656% |
| 8    | Corviknight        | 16.91888% | 8243   | 47.173% | 6390   | 47.629% |
| 9    | Bisharp            | 10.72644% | 1688   |  9.660% | 1197   |  8.922% |
| 10   | Excadrill          |  7.53677% | 2939   | 16.819% | 2175   | 16.212% |
| 11   | Iron Crown         |  5.78101% | 2877   | 16.464% | 2105   | 15.690% |
| 12   | Jirachi            |  4.91689% | 1604   |  9.179% | 1147   |  8.549% |
| 13   | Empoleon           |  3.91746% | 2957   | 16.922% | 2257   | 16.823% |
| 14   | Tinkaton           |  3.35223% | 2196   | 12.567% | 1695   | 12.634% |
| 15   | Orthworm           |  3.08956% | 568    |  3.251% | 454    |  3.384% |
| 16   | Revavroom          |  2.32026% | 1113   |  6.369% | 798    |  5.948% |
| 17   | Klefki             |  1.66028% | 1385   |  7.926% | 1274   |  9.496% |
| 18   | Metagross          |  0.97781% | 3355   | 19.200% | 2396   | 17.859% |
| 19   | Magnezone          |  0.88772% | 896    |  5.128% | 661    |  4.927% |
| 20   | Lucario            |  0.82562% | 926    |  5.299% | 701    |  5.225% |
| 21   | Copperajah         |  0.44603% | 177    |  1.013% | 134    |  0.999% |
| 22   | Cobalion           |  0.23682% | 319    |  1.826% | 236    |  1.759% |
| 23   | Forretress         |  0.16668% | 1065   |  6.095% | 919    |  6.850% |
| 24   | Dugtrio-Alola      |  0.04003% | 350    |  2.003% | 312    |  2.326% |
| 25   | Duraludon          |  0.03720% | 198    |  1.133% | 152    |  1.133% |
| 26   | Bronzong           |  0.02242% | 410    |  2.346% | 343    |  2.557% |
| 27   | Magneton           |  0.02124% | 108    |  0.618% | 84     |  0.626% |
| 28   | Bastiodon          |  0.01690% | 104    |  0.595% | 89     |  0.663% |
| 29   | Registeel          |  0.01458% | 377    |  2.157% | 285    |  2.124% |
| 30   | Perrserker         |  0.01383% | 75     |  0.429% | 53     |  0.395% |
| 31   | Probopass          |  0.00047% | 59     |  0.338% | 36     |  0.268% |
| 32   | Sandslash-Alola    |  0.00008% | 144    |  0.824% | 97     |  0.723% |
| 33   | Sliggoo-Hisui      |  0.00007% | 12     |  0.069% | 10     |  0.075% |
| 34   | Meowth-Galar       |  0.00000% | 2      |  0.011% | 2      |  0.015% |
| 35   | Metang             |  0.00000% | 7      |  0.040% | 4      |  0.030% |
| 36   | Tinkatuff          |  0.00000% | 1      |  0.006% | 1      |  0.007% |
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
