Total battles: 160578
Avg. weight/team: 0.018
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       |
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| 1    | Swampert           | 62.90043% | 13664  | 46.220% | 11411  | 49.085% |
| 2    | Urshifu-Rapid-Strike | 58.85329% | 16121  | 54.531% | 12391  | 53.300% |
| 3    | Toxapex            | 51.84036% | 12222  | 41.342% | 10110  | 43.489% |
| 4    | Greninja           | 50.98399% | 10811  | 36.569% | 8096   | 34.825% |
| 5    | Samurott-Hisui     | 43.51623% | 10169  | 34.398% | 8243   | 35.458% |
| 6    | Pelipper           | 40.02576% | 16337  | 55.262% | 14605  | 62.824% |
| 7    | Ogerpon-Wellspring | 36.46664% | 10711  | 36.231% | 7703   | 33.135% |
| 8    | Primarina          | 32.27527% | 8533   | 28.864% | 6157   | 26.485% |
| 9    | Alomomola          | 22.80348% | 3757   | 12.708% | 2881   | 12.393% |
| 10   | Barraskewda        | 20.33295% | 6568   | 22.217% | 5205   | 22.390% |
| 11   | Empoleon           | 20.11790% | 3827   | 12.945% | 3161   | 13.597% |
| 12   | Walking Wake       | 18.32266% | 5021   | 16.984% | 3684   | 15.847% |
| 13   | Gastrodon          | 17.52507% | 4265   | 14.427% | 3338   | 14.359% |
| 14   | Kingdra            | 15.52826% | 5168   | 17.481% | 3998   | 17.198% |
| 15   | Rotom-Wash         | 12.76201% | 5054   | 17.096% | 4005   | 17.228% |
| 16   | Basculegion-F      | 11.27924% | 2234   |  7.557% | 1702   |  7.321% |
| 17   | Tentacruel         |  9.70471% | 3755   | 12.702% | 2997   | 12.892% |
| 18   | Araquanid          |  9.09760% | 2910   |  9.843% | 2555   | 10.990% |
| 19   | Quaquaval          |  8.82666% | 4115   | 13.919% | 3085   | 13.270% |
| 20   | Dondozo            |  8.00759% | 2814   |  9.519% | 2058   |  8.853% |
| 21   | Suicune            |  7.81432% | 1432   |  4.844% | 1039   |  4.469% |
| 22   | Cloyster           |  6.88895% | 2043   |  6.911% | 1499   |  6.448% |
| 23   | Keldeo             |  6.23725% | 1070   |  3.619% | 783    |  3.368% |
| 24   | Slowking           |  3.35800% | 1095   |  3.704% | 863    |  3.712% |
| 25   | Volcanion          |  3.19813% | 2558   |  8.653% | 1922   |  8.268% |
| 26   | Azumarill          |  2.75519% | 2309   |  7.810% | 1763   |  7.584% |
| 27   | Quagsire           |  2.48227% | 1789   |  6.051% | 1470   |  6.323% |
| 28   | Politoed           |  2.44638% | 2328   |  7.875% | 1941   |  8.349% |
| 29   | Gyarados           |  2.39471% | 1927   |  6.518% | 1436   |  6.177% |
| 30   | Blastoise          |  2.27835% | 1593   |  5.388% | 1200   |  5.162% |
| 31   | Manaphy            |  1.44315% | 1124   |  3.802% | 807    |  3.471% |
| 32   | Crawdaunt          |  1.25383% | 552    |  1.867% | 452    |  1.944% |
| 33   | Basculegion        |  0.99217% | 1035   |  3.501% | 768    |  3.304% |
| 34   | Milotic            |  0.97640% | 672    |  2.273% | 500    |  2.151% |
| 35   | Lapras             |  0.71321% | 762    |  2.578% | 599    |  2.577% |
| 36   | Ludicolo           |  0.68582% | 1298   |  4.391% | 970    |  4.172% |
| 37   | Lanturn            |  0.46434% | 969    |  3.278% | 686    |  2.951% |
| 38   | Floatzel           |  0.32094% | 495    |  1.674% | 373    |  1.604% |
| 39   | Feraligatr         |  0.31702% | 451    |  1.526% | 329    |  1.415% |
| 40   | Tatsugiri          |  0.27262% | 264    |  0.893% | 195    |  0.839% |
| 41   | Slowbro            |  0.24568% | 412    |  1.394% | 303    |  1.303% |
| 42   | Inteleon           |  0.24236% | 494    |  1.671% | 331    |  1.424% |
| 43   | Cramorant          |  0.23555% | 258    |  0.873% | 198    |  0.852% |
| 44   | Poliwrath          |  0.21089% | 235    |  0.795% | 172    |  0.740% |
| 45   | Golduck            |  0.10899% | 70     |  0.237% | 57     |  0.245% |
| 46   | Drednaw            |  0.09788% | 207    |  0.700% | 164    |  0.705% |
| 47   | Vaporeon           |  0.09550% | 319    |  1.079% | 235    |  1.011% |
| 48   | Qwilfish           |  0.08789% | 382    |  1.292% | 311    |  1.338% |
| 49   | Tauros-Paldea-Aqua |  0.05087% | 110    |  0.372% | 76     |  0.327% |
| 50   | Swanna             |  0.04159% | 44     |  0.149% | 40     |  0.172% |
| 51   | Clawitzer          |  0.04037% | 301    |  1.018% | 211    |  0.908% |
| 52   | Veluza             |  0.03113% | 140    |  0.474% | 91     |  0.391% |
| 53   | Dewgong            |  0.01154% | 43     |  0.145% | 37     |  0.159% |
| 54   | Samurott           |  0.00767% | 39     |  0.132% | 29     |  0.125% |
| 55   | Surskit            |  0.00700% | 3      |  0.010% | 3      |  0.013% |
| 56   | Croconaw           |  0.00647% | 3      |  0.010% | 3      |  0.013% |
| 57   | Bruxish            |  0.00385% | 60     |  0.203% | 38     |  0.163% |
| 58   | Whiscash           |  0.00337% | 57     |  0.193% | 47     |  0.202% |
| 59   | Wugtrio            |  0.00290% | 77     |  0.260% | 63     |  0.271% |
| 60   | Luvdisc            |  0.00127% | 25     |  0.085% | 19     |  0.082% |
| 61   | Lombre             |  0.00030% | 2      |  0.007% | 2      |  0.009% |
| 62   | Feebas             |  0.00027% | 10     |  0.034% | 5      |  0.022% |
| 63   | Finneon            |  0.00027% | 9      |  0.030% | 8      |  0.034% |
| 64   | Barboach           |  0.00027% | 9      |  0.030% | 6      |  0.026% |
| 65   | Lumineon           |  0.00001% | 21     |  0.071% | 16     |  0.069% |
| 66   | Marshtomp          |  0.00001% | 9      |  0.030% | 9      |  0.039% |
| 67   | Basculin           |  0.00000% | 10     |  0.034% | 9      |  0.039% |
