Total battles: 110268
Avg. weight/team: 0.001
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       |
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| 1    | Volcarona          | 99.20428% | 14934  | 90.652% | 10767  | 84.752% |
| 2    | Kleavor            | 96.47777% | 11999  | 72.836% | 9991   | 78.643% |
| 3    | Scizor             | 95.64336% | 13058  | 79.264% | 9887   | 77.825% |
| 4    | Araquanid          | 93.62885% | 11791  | 71.573% | 9710   | 76.432% |
| 5    | Lokix              | 90.05590% | 8116   | 49.266% | 6002   | 47.244% |
| 6    | Forretress         | 56.67728% | 8912   | 54.097% | 7529   | 59.264% |
| 7    | Slither Wing       | 27.18892% | 3917   | 23.777% | 2902   | 22.843% |
| 8    | Heracross          | 19.35789% | 4044   | 24.548% | 2838   | 22.339% |
| 9    | Yanmega            |  7.03531% | 3667   | 22.259% | 2594   | 20.418% |
| 10   | Ribombee           |  5.34460% | 4946   | 30.023% | 3815   | 30.030% |
| 11   | Frosmoth           |  3.31836% | 2634   | 15.989% | 1761   | 13.862% |
| 12   | Galvantula         |  2.78038% | 3859   | 23.425% | 3168   | 24.937% |
| 13   | Vivillon           |  0.86304% | 840    |  5.099% | 648    |  5.101% |
| 14   | Vikavolt           |  0.55896% | 1230   |  7.466% | 933    |  7.344% |
| 15   | Illumise           |  0.55882% | 259    |  1.572% | 210    |  1.653% |
| 16   | Rabsca             |  0.46946% | 440    |  2.671% | 295    |  2.322% |
| 17   | Scyther            |  0.31404% | 897    |  5.445% | 645    |  5.077% |
| 18   | Volbeat            |  0.08566% | 351    |  2.131% | 279    |  2.196% |
| 19   | Leavanny           |  0.08374% | 428    |  2.598% | 326    |  2.566% |
| 20   | Swadloon           |  0.07482% | 289    |  1.754% | 184    |  1.448% |
| 21   | Venomoth           |  0.07152% | 622    |  3.776% | 447    |  3.519% |
| 22   | Vespiquen          |  0.04183% | 207    |  1.257% | 165    |  1.299% |
| 23   | Masquerain         |  0.04143% | 551    |  3.345% | 476    |  3.747% |
| 24   | Spidops            |  0.03613% | 232    |  1.408% | 208    |  1.637% |
| 25   | Ariados            |  0.02558% | 238    |  1.445% | 187    |  1.472% |
| 26   | Venonat            |  0.01509% | 99     |  0.601% | 76     |  0.598% |
| 27   | Larvesta           |  0.01002% | 10     |  0.061% | 8      |  0.063% |
| 28   | Pineco             |  0.00036% | 8      |  0.049% | 8      |  0.063% |
| 29   | Charjabug          |  0.00028% | 12     |  0.073% | 10     |  0.079% |
| 30   | Rellor             |  0.00000% | 6      |  0.036% | 6      |  0.047% |
| 31   | Dewpider           |  0.00000% | 6      |  0.036% | 6      |  0.047% |
| 32   | Surskit            |  0.00000% | 7      |  0.042% | 7      |  0.055% |
| 33   | Spinarak           |  0.00000% | 6      |  0.036% | 6      |  0.047% |
| 34   | Combee             |  0.00000% | 8      |  0.049% | 8      |  0.063% |
| 35   | Grubbin            |  0.00000% | 6      |  0.036% | 6      |  0.047% |
| 36   | Kricketune         |  0.00000% | 79     |  0.480% | 62     |  0.488% |
| 37   | Cutiefly           |  0.00000% | 6      |  0.036% | 6      |  0.047% |
| 38   | Yanma              |  0.00000% | 11     |  0.067% | 10     |  0.079% |
| 39   | Sewaddle           |  0.00000% | 6      |  0.036% | 6      |  0.047% |
| 40   | Joltik             |  0.00000% | 6      |  0.036% | 5      |  0.039% |
| 41   | Tarountula         |  0.00000% | 7      |  0.042% | 7      |  0.055% |
| 42   | Nymble             |  0.00000% | 6      |  0.036% | 5      |  0.039% |
| 43   | Snom               |  0.00000% | 1      |  0.006% | 1      |  0.008% |
| 44   | Kricketot          |  0.00000% | 2      |  0.012% | 2      |  0.016% |
| 45   | Scatterbug         |  0.00000% | 3      |  0.018% | 3      |  0.024% |
| 46   | Spewpa             |  0.00000% | 11     |  0.067% | 10     |  0.079% |
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
