Total battles: 110268
Avg. weight/team: 0.051
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       |
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| 1    | Ceruledge          | 64.81432% | 7348   | 64.814% | 5552   | 64.309% |
| 2    | Ogerpon-Hearthflame | 61.26841% | 6946   | 61.268% | 4958   | 57.429% |
| 3    | Cinderace          | 57.06977% | 6470   | 57.070% | 4679   | 54.197% |
| 4    | Volcarona          | 56.54935% | 6411   | 56.549% | 4419   | 51.185% |
| 5    | Heatran            | 45.62053% | 5172   | 45.621% | 4306   | 49.876% |
| 6    | Volcanion          | 45.07365% | 5110   | 45.074% | 3769   | 43.656% |
| 7    | Torkoal            | 43.90932% | 4978   | 43.909% | 4513   | 52.274% |
| 8    | Ninetales          | 32.23075% | 3654   | 32.231% | 3066   | 35.514% |
| 9    | Talonflame         | 22.73970% | 2578   | 22.740% | 2006   | 23.236% |
| 10   | Arcanine-Hisui     | 18.87625% | 2140   | 18.876% | 1593   | 18.452% |
| 11   | Incineroar         | 16.97098% | 1924   | 16.971% | 1614   | 18.695% |
| 12   | Iron Moth          | 14.67760% | 1664   | 14.678% | 1203   | 13.934% |
| 13   | Rotom-Heat         | 14.29832% | 1621   | 14.298% | 1296   | 15.012% |
| 14   | Skeledirge         | 12.83408% | 1455   | 12.834% | 1016   | 11.768% |
| 15   | Infernape          | 11.52862% | 1307   | 11.529% | 900    | 10.425% |
| 16   | Scovillain         | 10.56717% | 1198   | 10.567% | 861    |  9.973% |
| 17   | Moltres            |  8.72365% | 989    |  8.724% | 770    |  8.919% |
| 18   | Charizard          |  8.52959% | 967    |  8.530% | 734    |  8.502% |
| 19   | Entei              |  6.32442% | 717    |  6.324% | 563    |  6.521% |
| 20   | Armarouge          |  6.13919% | 696    |  6.139% | 489    |  5.664% |
| 21   | Salazzle           |  5.59231% | 634    |  5.592% | 548    |  6.347% |
| 22   | Chandelure         |  4.42798% | 502    |  4.428% | 355    |  4.112% |
| 23   | Typhlosion-Hisui   |  3.69586% | 419    |  3.696% | 309    |  3.579% |
| 24   | Houndoom           |  3.14898% | 357    |  3.149% | 222    |  2.571% |
| 25   | Tauros-Paldea-Blaze |  2.83144% | 321    |  2.831% | 258    |  2.988% |
| 26   | Numel              |  2.72559% | 309    |  2.726% | 216    |  2.502% |
| 27   | Delphox            |  2.61974% | 297    |  2.620% | 210    |  2.432% |
| 28   | Arcanine           |  2.29338% | 260    |  2.293% | 196    |  2.270% |
| 29   | Typhlosion         |  1.95819% | 222    |  1.958% | 185    |  2.143% |
| 30   | Flareon            |  1.86116% | 211    |  1.861% | 158    |  1.830% |
| 31   | Coalossal          |  1.69357% | 192    |  1.694% | 145    |  1.680% |
| 32   | Emboar             |  1.62300% | 184    |  1.623% | 146    |  1.691% |
| 33   | Oricorio           |  1.49069% | 169    |  1.491% | 129    |  1.494% |
| 34   | Camerupt           |  1.09376% | 124    |  1.094% | 101    |  1.170% |
| 35   | Magcargo           |  1.09376% | 124    |  1.094% | 98     |  1.135% |
| 36   | Magmortar          |  1.00556% | 114    |  1.006% | 75     |  0.869% |
| 37   | Pyroar             |  0.48514% | 55     |  0.485% | 47     |  0.544% |
| 38   | Magmar             |  0.20288% | 23     |  0.203% | 18     |  0.208% |
| 39   | Fletchinder        |  0.16759% | 19     |  0.168% | 17     |  0.197% |
| 40   | Braixen            |  0.12349% | 14     |  0.123% | 11     |  0.127% |
| 41   | Combusken          |  0.10585% | 12     |  0.106% | 9      |  0.104% |
| 42   | Torracat           |  0.08821% | 10     |  0.088% | 8      |  0.093% |
| 43   | Carkol             |  0.07939% | 9      |  0.079% | 9      |  0.104% |
| 44   | Charmeleon         |  0.07057% | 8      |  0.071% | 7      |  0.081% |
| 45   | Houndour           |  0.05292% | 6      |  0.053% | 5      |  0.058% |
| 46   | Torchic            |  0.02646% | 3      |  0.026% | 3      |  0.035% |
| 47   | Vulpix             |  0.02646% | 3      |  0.026% | 3      |  0.035% |
| 48   | Slugma             |  0.01764% | 2      |  0.018% | 2      |  0.023% |
| 49   | Monferno           |  0.00882% | 1      |  0.009% | 1      |  0.012% |
| 50   | Growlithe-Hisui    |  0.00882% | 1      |  0.009% | 1      |  0.012% |
| 51   | Quilava            |  0.00882% | 1      |  0.009% | 1      |  0.012% |
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
