Total battles: 87031
Avg. weight/team: 0.047
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       |
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| 1    | Meowscarada        | 82.06133% | 9331   | 72.412% | 7172   | 70.478% |
| 2    | Ting-Lu            | 70.95696% | 7407   | 57.481% | 6649   | 65.339% |
| 3    | Greninja           | 66.21650% | 7619   | 59.126% | 5922   | 58.195% |
| 4    | Mandibuzz          | 50.78658% | 5143   | 39.912% | 4226   | 41.528% |
| 5    | Samurott-Hisui     | 45.63191% | 5612   | 43.551% | 4630   | 45.498% |
| 6    | Darkrai            | 36.47330% | 4757   | 36.916% | 3484   | 34.237% |
| 7    | Bisharp            | 31.22550% | 3843   | 29.823% | 2886   | 28.360% |
| 8    | Hoopa-Unbound      | 31.13130% | 3327   | 25.819% | 2543   | 24.990% |
| 9    | Muk-Alola          | 26.99724% | 3101   | 24.065% | 2576   | 25.314% |
| 10   | Sableye            | 25.77894% | 3357   | 26.052% | 2820   | 27.712% |
| 11   | Roaring Moon       | 17.77060% | 2566   | 19.913% | 1762   | 17.315% |
| 12   | Moltres-Galar      | 15.85786% | 2075   | 16.103% | 1599   | 15.713% |
| 13   | Grimmsnarl         | 14.75610% | 2201   | 17.081% | 1908   | 18.750% |
| 14   | Incineroar         | 13.52489% | 2042   | 15.847% | 1728   | 16.981% |
| 15   | Hydreigon          | 11.99904% | 2303   | 17.872% | 1668   | 16.391% |
| 16   | Lokix              | 10.75748% | 1465   | 11.369% | 1149   | 11.291% |
| 17   | Tyranitar          |  8.09560% | 1692   | 13.131% | 1317   | 12.942% |
| 18   | Weavile            |  7.50526% | 1320   | 10.244% | 971    |  9.542% |
| 19   | Umbreon            |  4.42989% | 1179   |  9.149% | 896    |  8.805% |
| 20   | Morpeko            |  4.01619% | 559    |  4.338% | 433    |  4.255% |
| 21   | Overqwil           |  3.79084% | 856    |  6.643% | 703    |  6.908% |
| 22   | Krookodile         |  3.39192% | 876    |  6.798% | 654    |  6.427% |
| 23   | Scrafty            |  2.60368% | 754    |  5.851% | 552    |  5.424% |
| 24   | Iron Jugulis       |  2.23027% | 382    |  2.964% | 298    |  2.928% |
| 25   | Spiritomb          |  2.17514% | 469    |  3.640% | 407    |  4.000% |
| 26   | Crawdaunt          |  1.81425% | 308    |  2.390% | 243    |  2.388% |
| 27   | Zoroark            |  1.42975% | 641    |  4.974% | 260    |  2.555% |
| 28   | Wo-Chien           |  1.04296% | 243    |  1.886% | 193    |  1.897% |
| 29   | Qwilfish-Hisui     |  0.91282% | 124    |  0.962% | 117    |  1.150% |
| 30   | Zarude             |  0.88130% | 273    |  2.119% | 192    |  1.887% |
| 31   | Houndoom           |  0.81706% | 291    |  2.258% | 205    |  2.015% |
| 32   | Malamar            |  0.77187% | 331    |  2.569% | 262    |  2.575% |
| 33   | Brute Bonnet       |  0.62161% | 108    |  0.838% | 84     |  0.825% |
| 34   | Honchkrow          |  0.37349% | 163    |  1.265% | 132    |  1.297% |
| 35   | Bombirdier         |  0.28609% | 69     |  0.535% | 57     |  0.560% |
| 36   | Persian-Alola      |  0.19436% | 102    |  0.792% | 83     |  0.816% |
| 37   | Shiftry            |  0.13664% | 39     |  0.303% | 27     |  0.265% |
| 38   | Murkrow            |  0.08273% | 25     |  0.194% | 20     |  0.197% |
| 39   | Mabosstiff         |  0.08175% | 26     |  0.202% | 19     |  0.187% |
| 40   | Cacturne           |  0.07765% | 45     |  0.349% | 37     |  0.364% |
| 41   | Skuntank           |  0.06233% | 172    |  1.335% | 103    |  1.012% |
| 42   | Morgrem            |  0.05503% | 22     |  0.171% | 18     |  0.177% |
| 43   | Mightyena          |  0.03385% | 31     |  0.241% | 21     |  0.206% |
| 44   | Houndour           |  0.02761% | 8      |  0.062% | 6      |  0.059% |
| 45   | Grimer-Alola       |  0.00458% | 1      |  0.008% | 1      |  0.010% |
| 46   | Maschiff           |  0.00458% | 1      |  0.008% | 1      |  0.010% |
| 47   | Poochyena          |  0.00136% | 1      |  0.008% | 0      |  0.000% |
| 48   | Vullaby            |  0.00002% | 12     |  0.093% | 12     |  0.118% |
| 49   | Sneasel            |  0.00000% | 1      |  0.008% | 1      |  0.010% |
| 50   | Nuzleaf            |  0.00000% | 4      |  0.031% | 3      |  0.029% |
| 51   | Stunky             |  0.00000% | 9      |  0.070% | 7      |  0.069% |
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
