Total battles: 87031
Avg. weight/team: 0.006
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       |
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| 1    | Archaludon         | 98.51432% | 11286  | 84.966% | 9672   | 95.209% |
| 2    | Goodra-Hisui       | 98.22196% | 9372   | 70.556% | 7421   | 73.051% |
| 3    | Dragapult          | 91.09726% | 11429  | 86.042% | 8766   | 86.291% |
| 4    | Raging Bolt        | 58.13921% | 5601   | 42.167% | 3957   | 38.952% |
| 5    | Latios             | 45.41111% | 5044   | 37.973% | 3627   | 35.704% |
| 6    | Roaring Moon       | 43.59857% | 5643   | 42.483% | 4080   | 40.163% |
| 7    | Kyurem             | 38.23238% | 4464   | 33.607% | 3220   | 31.697% |
| 8    | Latias             | 37.93655% | 2918   | 21.968% | 2126   | 20.928% |
| 9    | Garchomp           | 28.84441% | 5940   | 44.719% | 4995   | 49.170% |
| 10   | Hydreigon          | 22.64191% | 1948   | 14.665% | 1444   | 14.214% |
| 11   | Dragonite          | 17.22510% | 4500   | 33.878% | 3286   | 32.347% |
| 12   | Kommo-o            |  9.04491% | 2297   | 17.293% | 1569   | 15.445% |
| 13   | Walking Wake       |  5.58390% | 2269   | 17.082% | 1685   | 16.587% |
| 14   | Regidrago          |  2.29541% | 556    |  4.186% | 402    |  3.957% |
| 15   | Noivern            |  1.22545% | 644    |  4.848% | 485    |  4.774% |
| 16   | Haxorus            |  0.57278% | 851    |  6.407% | 604    |  5.946% |
| 17   | Hydrapple          |  0.54587% | 891    |  6.708% | 618    |  6.083% |
| 18   | Dragalge           |  0.26264% | 804    |  6.053% | 609    |  5.995% |
| 19   | Duraludon          |  0.25490% | 150    |  1.129% | 130    |  1.280% |
| 20   | Salamence          |  0.16998% | 678    |  5.104% | 473    |  4.656% |
| 21   | Tatsugiri          |  0.06201% | 303    |  2.281% | 229    |  2.254% |
| 22   | Cyclizar           |  0.04841% | 655    |  4.931% | 491    |  4.833% |
| 23   | Altaria            |  0.01879% | 120    |  0.903% | 89     |  0.876% |
| 24   | Goodra             |  0.01488% | 193    |  1.453% | 167    |  1.644% |
| 25   | Flygon             |  0.01201% | 310    |  2.334% | 258    |  2.540% |
| 26   | Dipplin            |  0.00948% | 98     |  0.738% | 67     |  0.660% |
| 27   | Kingdra            |  0.00873% | 277    |  2.085% | 205    |  2.018% |
| 28   | Exeggutor-Alola    |  0.00655% | 114    |  0.858% | 73     |  0.719% |
| 29   | Arctibax           |  0.00026% | 1      |  0.008% | 1      |  0.010% |
| 30   | Hakamo-o           |  0.00026% | 14     |  0.105% | 9      |  0.089% |
| 31   | Appletun           |  0.00000% | 77     |  0.580% | 53     |  0.522% |
| 32   | Flapple            |  0.00000% | 68     |  0.512% | 52     |  0.512% |
| 33   | Dragonair          |  0.00000% | 16     |  0.120% | 14     |  0.138% |
| 34   | Dratini            |  0.00000% | 1      |  0.008% | 1      |  0.010% |
| 35   | Shelgon            |  0.00000% | 12     |  0.090% | 11     |  0.108% |
| 36   | Fraxure            |  0.00000% | 10     |  0.075% | 8      |  0.079% |
| 37   | Applin             |  0.00000% | 3      |  0.023% | 3      |  0.030% |
| 38   | Bagon              |  0.00000% | 7      |  0.053% | 6      |  0.059% |
| 39   | Gible              |  0.00000% | 3      |  0.023% | 2      |  0.020% |
| 40   | Zweilous           |  0.00000% | 9      |  0.068% | 9      |  0.089% |
| 41   | Deino              |  0.00000% | 9      |  0.068% | 8      |  0.079% |
| 42   | Noibat             |  0.00000% | 12     |  0.090% | 12     |  0.118% |
| 43   | Sliggoo            |  0.00000% | 8      |  0.060% | 7      |  0.069% |
| 44   | Goomy              |  0.00000% | 8      |  0.060% | 8      |  0.079% |
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
