Total battles: 87031
Avg. weight/team: 0.003
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       |
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| 1    | Iron Hands         | 85.23088% | 3792   | 66.433% | 2983   | 66.095% |
| 2    | Rotom-Wash         | 84.13806% | 3873   | 67.852% | 3174   | 70.328% |
| 3    | Raging Bolt        | 83.95487% | 3185   | 55.799% | 2263   | 50.142% |
| 4    | Regieleki          | 58.43861% | 3345   | 58.602% | 2722   | 60.312% |
| 5    | Zapdos             | 51.90134% | 2452   | 42.957% | 1957   | 43.362% |
| 6    | Sandy Shocks       | 37.36945% | 1966   | 34.443% | 1607   | 35.607% |
| 7    | Magnezone          | 35.36162% | 1310   | 22.950% | 1041   | 23.066% |
| 8    | Thundurus          | 32.91132% | 1062   | 18.605% | 876    | 19.410% |
| 9    | Pincurchin         | 20.98972% | 1118   | 19.587% | 1025   | 22.711% |
| 10   | Galvantula         | 12.29125% | 1527   | 26.752% | 1368   | 30.311% |
| 11   | Thundurus-Therian  | 10.76961% | 884    | 15.487% | 687    | 15.222% |
| 12   | Raikou             | 10.75089% | 223    |  3.907% | 161    |  3.567% |
| 13   | Pawmot             |  9.60918% | 1040   | 18.220% | 729    | 16.153% |
| 14   | Electrode-Hisui    |  9.49106% | 445    |  7.796% | 343    |  7.600% |
| 15   | Iron Thorns        |  8.29086% | 846    | 14.821% | 615    | 13.627% |
| 16   | Eelektross         |  7.12107% | 575    | 10.074% | 460    | 10.192% |
| 17   | Vikavolt           |  6.20752% | 236    |  4.135% | 205    |  4.542% |
| 18   | Raichu-Alola       |  5.55385% | 535    |  9.373% | 431    |  9.550% |
| 19   | Morpeko            |  5.17718% | 469    |  8.217% | 370    |  8.198% |
| 20   | Oricorio-Pom-Pom   |  4.97648% | 609    | 10.669% | 455    | 10.082% |
| 21   | Bellibolt          |  4.52657% | 485    |  8.497% | 415    |  9.195% |
| 22   | Golem-Alola        |  2.83585% | 346    |  6.062% | 255    |  5.650% |
| 23   | Toxtricity         |  2.49581% | 868    | 15.207% | 629    | 13.937% |
| 24   | Plusle             |  2.01776% | 45     |  0.788% | 36     |  0.798% |
| 25   | Luxray             |  1.09264% | 361    |  6.324% | 274    |  6.071% |
| 26   | Lanturn            |  1.09164% | 104    |  1.822% | 89     |  1.972% |
| 27   | Pikachu            |  1.01987% | 257    |  4.502% | 206    |  4.564% |
| 28   | Rotom-Frost        |  1.01034% | 131    |  2.295% | 110    |  2.437% |
| 29   | Kilowattrel        |  0.69330% | 408    |  7.148% | 336    |  7.445% |
| 30   | Jolteon            |  0.44501% | 187    |  3.276% | 149    |  3.301% |
| 31   | Rotom-Mow          |  0.37050% | 120    |  2.102% | 93     |  2.061% |
| 32   | Raichu             |  0.31359% | 99     |  1.734% | 77     |  1.706% |
| 33   | Dedenne            |  0.28858% | 118    |  2.067% | 86     |  1.906% |
| 34   | Minun              |  0.23650% | 26     |  0.456% | 19     |  0.421% |
| 35   | Pachirisu          |  0.18993% | 91     |  1.594% | 65     |  1.440% |
| 36   | Rotom              |  0.18557% | 40     |  0.701% | 33     |  0.731% |
| 37   | Electivire         |  0.17723% | 366    |  6.412% | 259    |  5.739% |
| 38   | Rotom-Heat         |  0.12507% | 196    |  3.434% | 152    |  3.368% |
| 39   | Ampharos           |  0.08796% | 78     |  1.367% | 61     |  1.352% |
| 40   | Blitzle            |  0.07607% | 8      |  0.140% | 4      |  0.089% |
| 41   | Rotom-Fan          |  0.07503% | 12     |  0.210% | 10     |  0.222% |
| 42   | Graveler-Alola     |  0.03946% | 30     |  0.526% | 29     |  0.643% |
| 43   | Zebstrika          |  0.03430% | 33     |  0.578% | 26     |  0.576% |
| 44   | Magneton           |  0.03383% | 83     |  1.454% | 61     |  1.352% |
| 45   | Electabuzz         |  0.00186% | 10     |  0.175% | 9      |  0.199% |
| 46   | Flaaffy            |  0.00026% | 48     |  0.841% | 22     |  0.487% |
| 47   | Pichu              |  0.00009% | 5      |  0.088% | 5      |  0.111% |
| 48   | Electrode          |  0.00004% | 83     |  1.454% | 79     |  1.750% |
| 49   | Voltorb            |  0.00002% | 1      |  0.018% | 1      |  0.022% |
| 50   | Charjabug          |  0.00000% | 4      |  0.070% | 3      |  0.066% |
| 51   | Wattrel            |  0.00000% | 1      |  0.018% | 1      |  0.022% |
| 52   | Elekid             |  0.00000% | 2      |  0.035% | 1      |  0.022% |
| 53   | Chinchou           |  0.00000% | 2      |  0.035% | 2      |  0.044% |
| 54   | Luxio              |  0.00000% | 6      |  0.105% | 5      |  0.111% |
| 55   | Eelektrik          |  0.00000% | 1      |  0.018% | 1      |  0.022% |
| 56   | Joltik             |  0.00000% | 1      |  0.018% | 1      |  0.022% |
| 57   | Geodude-Alola      |  0.00000% | 2      |  0.035% | 2      |  0.044% |
| 58   | Tynamo             |  0.00000% | 3      |  0.053% | 1      |  0.022% |
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
