Total battles: 87031
Avg. weight/team: 0.002
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       |
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| 1    | Iron Valiant       | 98.62657% | 7579   | 71.561% | 5506   | 67.433% |
| 2    | Great Tusk         | 96.72528% | 6961   | 65.726% | 5703   | 69.845% |
| 3    | Iron Hands         | 96.19902% | 5896   | 55.670% | 4783   | 58.578% |
| 4    | Urshifu-Rapid-Strike | 81.54040% | 5803   | 54.792% | 4447   | 54.463% |
| 5    | Sneasler           | 69.93934% | 7525   | 71.051% | 5879   | 72.001% |
| 6    | Gallade            | 67.92457% | 3952   | 37.315% | 3086   | 37.795% |
| 7    | Breloom            | 31.76257% | 1886   | 17.808% | 1483   | 18.163% |
| 8    | Scrafty            | 25.68709% | 2485   | 23.463% | 1867   | 22.865% |
| 9    | Keldeo             | 12.51595% | 2080   | 19.639% | 1595   | 19.534% |
| 10   | Chesnaught         |  2.51084% | 177    |  1.671% | 128    |  1.568% |
| 11   | Slither Wing       |  2.37818% | 812    |  7.667% | 627    |  7.679% |
| 12   | Quaquaval          |  2.15330% | 2128   | 20.093% | 1594   | 19.522% |
| 13   | Lucario            |  1.51613% | 1668   | 15.749% | 1267   | 15.517% |
| 14   | Zapdos-Galar       |  1.40694% | 1023   |  9.659% | 782    |  9.577% |
| 15   | Okidogi            |  1.35487% | 800    |  7.554% | 591    |  7.238% |
| 16   | Lilligant-Hisui    |  1.27854% | 612    |  5.778% | 423    |  5.181% |
| 17   | Cobalion           |  1.09114% | 1411   | 13.323% | 1171   | 14.341% |
| 18   | Infernape          |  1.03132% | 1479   | 13.965% | 1140   | 13.962% |
| 19   | Emboar             |  0.86159% | 106    |  1.001% | 81     |  0.992% |
| 20   | Hawlucha           |  0.77232% | 1356   | 12.803% | 974    | 11.929% |
| 21   | Hariyama           |  0.73095% | 176    |  1.662% | 152    |  1.862% |
| 22   | Conkeldurr         |  0.70267% | 912    |  8.611% | 736    |  9.014% |
| 23   | Kommo-o            |  0.42836% | 2078   | 19.620% | 1512   | 18.518% |
| 24   | Terrakion          |  0.21729% | 377    |  3.560% | 246    |  3.013% |
| 25   | Flamigo            |  0.15913% | 206    |  1.945% | 143    |  1.751% |
| 26   | Hitmonlee          |  0.13585% | 556    |  5.250% | 380    |  4.654% |
| 27   | Pawmot             |  0.08486% | 580    |  5.476% | 415    |  5.083% |
| 28   | Decidueye-Hisui    |  0.07837% | 239    |  2.257% | 191    |  2.339% |
| 29   | Tauros-Paldea-Blaze |  0.05810% | 217    |  2.049% | 170    |  2.082% |
| 30   | Mienshao           |  0.04920% | 450    |  4.249% | 343    |  4.201% |
| 31   | Heracross          |  0.03979% | 440    |  4.154% | 364    |  4.458% |
| 32   | Hitmontop          |  0.01887% | 151    |  1.426% | 122    |  1.494% |
| 33   | Crabominable       |  0.00695% | 30     |  0.283% | 27     |  0.331% |
| 34   | Hitmonchan         |  0.00375% | 305    |  2.880% | 255    |  3.123% |
| 35   | Scraggy            |  0.00297% | 12     |  0.113% | 10     |  0.122% |
| 36   | Poliwrath          |  0.00231% | 55     |  0.519% | 46     |  0.563% |
| 37   | Falinks            |  0.00108% | 87     |  0.821% | 66     |  0.808% |
| 38   | Tauros-Paldea-Aqua |  0.00093% | 151    |  1.426% | 120    |  1.470% |
| 39   | Passimian          |  0.00064% | 133    |  1.256% | 97     |  1.188% |
| 40   | Toxicroak          |  0.00063% | 247    |  2.332% | 197    |  2.413% |
| 41   | Medicham           |  0.00061% | 152    |  1.435% | 119    |  1.457% |
| 42   | Primeape           |  0.00058% | 58     |  0.548% | 44     |  0.539% |
| 43   | Gurdurr            |  0.00013% | 27     |  0.255% | 19     |  0.233% |
| 44   | Virizion           |  0.00005% | 56     |  0.529% | 47     |  0.576% |
| 45   | Croagunk           |  0.00000% | 6      |  0.057% | 6      |  0.073% |
| 46   | Combusken          |  0.00000% | 8      |  0.076% | 6      |  0.073% |
| 47   | Sneasel-Hisui      |  0.00000% | 8      |  0.076% | 7      |  0.086% |
| 48   | Riolu              |  0.00000% | 8      |  0.076% | 6      |  0.073% |
| 49   | Meditite           |  0.00000% | 7      |  0.066% | 6      |  0.073% |
| 50   | Makuhita           |  0.00000% | 7      |  0.066% | 4      |  0.049% |
| 51   | Monferno           |  0.00000% | 1      |  0.009% | 1      |  0.012% |
| 52   | Pawmo              |  0.00000% | 5      |  0.047% | 5      |  0.061% |
| 53   | Crabrawler         |  0.00000% | 1      |  0.009% | 1      |  0.012% |
| 54   | Hakamo-o           |  0.00000% | 1      |  0.009% | 1      |  0.012% |
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
