Total battles: 87031
Avg. weight/team: 0.015
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       |
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| 1    | Flutter Mane       | 95.42899% | 9632   | 73.069% | 7140   | 72.945% |
| 2    | Dragapult          | 88.70738% | 9967   | 75.611% | 7386   | 75.458% |
| 3    | Ceruledge          | 81.71097% | 7947   | 60.287% | 6221   | 63.556% |
| 4    | Gholdengo          | 52.70977% | 6355   | 48.210% | 4677   | 47.782% |
| 5    | Pecharunt          | 51.55810% | 5273   | 40.002% | 4094   | 41.826% |
| 6    | Spectrier          | 47.05191% | 4945   | 37.513% | 3506   | 35.819% |
| 7    | Mimikyu            | 41.46327% | 5032   | 38.173% | 3834   | 39.170% |
| 8    | Brambleghast       | 31.16095% | 2733   | 20.733% | 2269   | 23.181% |
| 9    | Sableye            | 29.03716% | 2162   | 16.401% | 1848   | 18.880% |
| 10   | Froslass           | 16.70004% | 1750   | 13.276% | 1553   | 15.866% |
| 11   | Zoroark-Hisui      | 15.15022% | 4658   | 35.336% | 1842   | 18.819% |
| 12   | Sinistcha          | 13.45541% | 1955   | 14.831% | 1431   | 14.620% |
| 13   | Golurk             |  8.71529% | 1901   | 14.421% | 1539   | 15.723% |
| 14   | Skeledirge         |  6.84291% | 2551   | 19.352% | 1895   | 19.360% |
| 15   | Gengar             |  5.50427% | 2758   | 20.922% | 2219   | 22.670% |
| 16   | Polteageist        |  4.03152% | 1232   |  9.346% | 932    |  9.522% |
| 17   | Basculegion        |  2.11354% | 1077   |  8.170% | 808    |  8.255% |
| 18   | Decidueye          |  1.59529% | 538    |  4.081% | 411    |  4.199% |
| 19   | Drifblim           |  1.36679% | 1068   |  8.102% | 785    |  8.020% |
| 20   | Houndstone         |  1.19101% | 387    |  2.936% | 304    |  3.106% |
| 21   | Spiritomb          |  1.03532% | 527    |  3.998% | 441    |  4.505% |
| 22   | Chandelure         |  0.81974% | 979    |  7.427% | 754    |  7.703% |
| 23   | Oricorio-Sensu     |  0.80463% | 371    |  2.814% | 281    |  2.871% |
| 24   | Dusclops           |  0.36217% | 350    |  2.655% | 296    |  3.024% |
| 25   | Palossand          |  0.35291% | 270    |  2.048% | 235    |  2.401% |
| 26   | Basculegion-F      |  0.25802% | 482    |  3.657% | 355    |  3.627% |
| 27   | Typhlosion-Hisui   |  0.22961% | 331    |  2.511% | 256    |  2.615% |
| 28   | Hoopa              |  0.14995% | 146    |  1.108% | 94     |  0.960% |
| 29   | Trevenant          |  0.10745% | 283    |  2.147% | 211    |  2.156% |
| 30   | Dusknoir           |  0.10492% | 518    |  3.930% | 434    |  4.434% |
| 31   | Rotom              |  0.09798% | 76     |  0.577% | 69     |  0.705% |
| 32   | Haunter            |  0.07330% | 96     |  0.728% | 81     |  0.828% |
| 33   | Banette            |  0.05873% | 168    |  1.274% | 147    |  1.502% |
| 34   | Mismagius          |  0.05017% | 476    |  3.611% | 372    |  3.801% |
| 35   | Greavard           |  0.00029% | 4      |  0.030% | 3      |  0.031% |
| 36   | Misdreavus         |  0.00000% | 6      |  0.046% | 6      |  0.061% |
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
