Total battles: 87031
Avg. weight/team: 0.064
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       |
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| 1    | Muk-Alola          | 65.20721% | 7238   | 65.207% | 5644   | 66.230% |
| 2    | Sneasler           | 62.73874% | 6964   | 62.739% | 5175   | 60.726% |
| 3    | Weezing-Galar      | 57.41441% | 6373   | 57.414% | 5161   | 60.562% |
| 4    | Toxapex            | 46.06306% | 5113   | 46.063% | 4074   | 47.807% |
| 5    | Iron Moth          | 45.40541% | 5040   | 45.405% | 3690   | 43.301% |
| 6    | Glimmora           | 44.27027% | 4914   | 44.270% | 4185   | 49.109% |
| 7    | Slowking-Galar     | 43.04505% | 4778   | 43.045% | 3641   | 42.726% |
| 8    | Clodsire           | 42.66667% | 4736   | 42.667% | 3719   | 43.641% |
| 9    | Pecharunt          | 31.13514% | 3456   | 31.135% | 2444   | 28.679% |
| 10   | Salazzle           | 24.90991% | 2765   | 24.910% | 2083   | 24.443% |
| 11   | Gengar             | 21.95495% | 2437   | 21.955% | 1608   | 18.869% |
| 12   | Amoonguss          | 16.70270% | 1854   | 16.703% | 1350   | 15.842% |
| 13   | Overqwil           | 14.53153% | 1613   | 14.532% | 1309   | 15.361% |
| 14   | Okidogi            | 14.44144% | 1603   | 14.441% | 1243   | 14.586% |
| 15   | Revavroom          |  8.49550% | 943    |  8.495% | 702    |  8.238% |
| 16   | Tentacruel         |  7.00000% | 777    |  7.000% | 597    |  7.006% |
| 17   | Toxtricity         |  6.98198% | 775    |  6.982% | 543    |  6.372% |
| 18   | Grafaiai           |  5.95495% | 661    |  5.955% | 508    |  5.961% |
| 19   | Dragalge           |  5.91892% | 657    |  5.919% | 471    |  5.527% |
| 20   | Venusaur           |  5.49550% | 610    |  5.495% | 439    |  5.151% |
| 21   | Toxicroak          |  5.27027% | 585    |  5.270% | 412    |  4.835% |
| 22   | Fezandipiti        |  3.96396% | 440    |  3.964% | 327    |  3.837% |
| 23   | Weezing            |  3.09009% | 343    |  3.090% | 304    |  3.567% |
| 24   | Ariados            |  2.95495% | 328    |  2.955% | 301    |  3.532% |
| 25   | Vileplume          |  2.20721% | 245    |  2.207% | 179    |  2.100% |
| 26   | Skuntank           |  1.72973% | 192    |  1.730% | 132    |  1.549% |
| 27   | Slowbro-Galar      |  1.71171% | 190    |  1.712% | 151    |  1.772% |
| 28   | Munkidori          |  1.60360% | 178    |  1.604% | 145    |  1.702% |
| 29   | Arbok              |  1.37838% | 153    |  1.378% | 127    |  1.490% |
| 30   | Muk                |  1.04505% | 116    |  1.045% | 99     |  1.162% |
| 31   | Venomoth           |  0.92793% | 103    |  0.928% | 75     |  0.880% |
| 32   | Haunter            |  0.70270% | 78     |  0.703% | 64     |  0.751% |
| 33   | Qwilfish-Hisui     |  0.63063% | 70     |  0.631% | 62     |  0.728% |
| 34   | Seviper            |  0.48649% | 54     |  0.486% | 43     |  0.505% |
| 35   | Swalot             |  0.29730% | 33     |  0.297% | 28     |  0.329% |
| 36   | Victreebel         |  0.28829% | 32     |  0.288% | 28     |  0.329% |
| 37   | Qwilfish           |  0.19820% | 22     |  0.198% | 16     |  0.188% |
| 38   | Venonat            |  0.11712% | 13     |  0.117% | 9      |  0.106% |
| 39   | Sneasel-Hisui      |  0.09009% | 10     |  0.090% | 9      |  0.106% |
| 40   | Spinarak           |  0.09009% | 10     |  0.090% | 9      |  0.106% |
| 41   | Wooper-Paldea      |  0.09009% | 10     |  0.090% | 10     |  0.117% |
| 42   | Gulpin             |  0.05405% | 6      |  0.054% | 2      |  0.023% |
| 43   | Gloom              |  0.04505% | 5      |  0.045% | 5      |  0.059% |
| 44   | Croagunk           |  0.04505% | 5      |  0.045% | 1      |  0.012% |
| 45   | Koffing            |  0.01802% | 2      |  0.018% | 2      |  0.023% |
| 46   | Grimer             |  0.01802% | 2      |  0.018% | 2      |  0.023% |
| 47   | Ekans              |  0.01802% | 2      |  0.018% | 2      |  0.023% |
| 48   | Tentacool          |  0.00901% | 1      |  0.009% | 1      |  0.012% |
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
